Month of Month of Booking Date,Park_Tourism_Region,Year of Month of Booking Date,Visitors,month_year
December,Fraser Coast,2022,22031,Dec-22
December,Darling Downs,2022,5682,Dec-22
December,Central Queensland,2022,7319,Dec-22
December,Bundaberg,2022,225,Dec-22
December,Brisbane,2022,6282,Dec-22
January,Whitsundays,2023,845,Jan-23
January,Tropical North Queensland,2023,12865,Jan-23
January,Townsville,2023,1074,Jan-23
January,Sunshine Coast,2023,41797,Jan-23
January,Queensland Country,2023,163,Jan-23
January,Outback,2023,586,Jan-23
January,Mackay,2023,1443,Jan-23
January,"Launceston, Tamar and the North",2023,4956,Jan-23
January,Gold Coast,2023,1320,Jan-23
January,Fraser Coast,2023,29419,Jan-23
January,Darling Downs,2023,6839,Jan-23
January,Central Queensland,2023,10029,Jan-23
January,Bundaberg,2023,194,Jan-23
January,Brisbane,2023,7665,Jan-23
February,Whitsundays,2023,818,Feb-23
February,Tropical North Queensland,2023,9631,Feb-23
February,Townsville,2023,867,Feb-23
February,Sunshine Coast,2023,32423,Feb-23
February,Queensland Country,2023,29,Feb-23
February,Outback,2023,646,Feb-23
February,Mackay,2023,1623,Feb-23
February,"Launceston, Tamar and the North",2023,3834,Feb-23
February,Gold Coast,2023,1303,Feb-23
February,Fraser Coast,2023,26452,Feb-23
February,Darling Downs,2023,5788,Feb-23
February,Central Queensland,2023,7195,Feb-23
February,Bundaberg,2023,155,Feb-23
February,Brisbane,2023,6217,Feb-23
March,Whitsundays,2023,1326,Mar-23
March,Tropical North Queensland,2023,16544,Mar-23
March,Townsville,2023,2065,Mar-23
March,Sunshine Coast,2023,30140,Mar-23
March,Queensland Country,2023,228,Mar-23
March,Outback,2023,932,Mar-23
March,Mackay,2023,2097,Mar-23
March,"Launceston, Tamar and the North",2023,4398,Mar-23
March,Gold Coast,2023,1323,Mar-23
March,Fraser Coast,2023,39249,Mar-23
March,Darling Downs,2023,6046,Mar-23
March,Central Queensland,2023,8392,Mar-23
March,Bundaberg,2023,203,Mar-23
March,Brisbane,2023,7574,Mar-23
April,Whitsundays,2023,683,Apr-23
April,Tropical North Queensland,2023,14810,Apr-23
April,Townsville,2023,2241,Apr-23
April,Sunshine Coast,2023,27901,Apr-23
April,Queensland Country,2023,301,Apr-23
April,Outback,2023,2060,Apr-23
April,Mackay,2023,2275,Apr-23
April,"Launceston, Tamar and the North",2023,4096,Apr-23
April,Gold Coast,2023,1135,Apr-23
April,Fraser Coast,2023,30620,Apr-23
April,Darling Downs,2023,5893,Apr-23
April,Central Queensland,2023,9239,Apr-23
April,Bundaberg,2023,435,Apr-23
April,Brisbane,2023,7555,Apr-23
May,Whitsundays,2023,918,May-23
May,Tropical North Queensland,2023,14204,May-23
May,Townsville,2023,2047,May-23
May,Sunshine Coast,2023,24022,May-23
May,Queensland Country,2023,279,May-23
May,Outback,2023,2483,May-23
May,Mackay,2023,2294,May-23
May,"Launceston, Tamar and the North",2023,3527,May-23
May,Gold Coast,2023,1367,May-23
May,Fraser Coast,2023,27234,May-23
May,Darling Downs,2023,4120,May-23
May,Central Queensland,2023,9529,May-23
May,Bundaberg,2023,276,May-23
May,Brisbane,2023,6637,May-23
June,Whitsundays,2023,1060,Jun-23
June,Tropical North Queensland,2023,17438,Jun-23
June,Townsville,2023,3303,Jun-23
June,Sunshine Coast,2023,29828,Jun-23
June,Queensland Country,2023,401,Jun-23
June,Outback,2023,2594,Jun-23
June,Mackay,2023,2510,Jun-23
June,"Launceston, Tamar and the North",2023,4152,Jun-23
June,Gold Coast,2023,1167,Jun-23
June,Fraser Coast,2023,31464,Jun-23
June,Darling Downs,2023,5583,Jun-23
June,Central Queensland,2023,9485,Jun-23
June,Bundaberg,2023,395,Jun-23
June,Brisbane,2023,8278,Jun-23
July,Whitsundays,2023,598,Jul-23
July,Tropical North Queensland,2023,17544,Jul-23
July,Townsville,2023,2649,Jul-23
July,Sunshine Coast,2023,29664,Jul-23
July,Queensland Country,2023,255,Jul-23
July,Outback,2023,2304,Jul-23
July,Mackay,2023,1735,Jul-23
July,"Launceston, Tamar and the North",2023,4314,Jul-23
July,Gold Coast,2023,1171,Jul-23
July,Fraser Coast,2023,38125,Jul-23
July,Darling Downs,2023,5328,Jul-23
July,Central Queensland,2023,9868,Jul-23
July,Bundaberg,2023,418,Jul-23
July,Brisbane,2023,8363,Jul-23
August,Whitsundays,2023,1070,Aug-23
August,Tropical North Queensland,2023,19464,Aug-23
August,Townsville,2023,2740,Aug-23
August,Sunshine Coast,2023,41823,Aug-23
August,Queensland Country,2023,512,Aug-23
August,Outback,2023,3048,Aug-23
August,Mackay,2023,2409,Aug-23
August,"Launceston, Tamar and the North",2023,4703,Aug-23
August,Gold Coast,2023,1425,Aug-23
August,Fraser Coast,2023,44529,Aug-23
August,Darling Downs,2023,6413,Aug-23
August,Central Queensland,2023,10306,Aug-23
August,Bundaberg,2023,266,Aug-23
August,Brisbane,2023,7770,Aug-23
September,Whitsundays,2023,776,Sep-23
September,Tropical North Queensland,2023,17901,Sep-23
September,Townsville,2023,2638,Sep-23
September,Sunshine Coast,2023,44934,Sep-23
September,Queensland Country,2023,322,Sep-23
September,Outback,2023,1710,Sep-23
September,Mackay,2023,2059,Sep-23
September,"Launceston, Tamar and the North",2023,4403,Sep-23
September,Gold Coast,2023,1076,Sep-23
September,Fraser Coast,2023,28943,Sep-23
September,Darling Downs,2023,5070,Sep-23
September,Central Queensland,2023,9005,Sep-23
September,Bundaberg,2023,349,Sep-23
September,Brisbane,2023,7178,Sep-23
October,Whitsundays,2023,609,Oct-23
October,Tropical North Queensland,2023,11995,Oct-23
October,Townsville,2023,1216,Oct-23
October,Sunshine Coast,2023,41477,Oct-23
October,Queensland Country,2023,82,Oct-23
October,Outback,2023,606,Oct-23
October,Mackay,2023,1439,Oct-23
October,"Launceston, Tamar and the North",2023,2622,Oct-23
October,Gold Coast,2023,994,Oct-23
October,Fraser Coast,2023,29684,Oct-23
October,Darling Downs,2023,4058,Oct-23
October,Central Queensland,2023,6547,Oct-23
October,Bundaberg,2023,179,Oct-23
October,Brisbane,2023,5742,Oct-23
November,Whitsundays,2023,508,Nov-23
November,Tropical North Queensland,2023,7594,Nov-23
November,Townsville,2023,849,Nov-23
November,Sunshine Coast,2023,34474,Nov-23
November,Queensland Country,2023,94,Nov-23
November,Outback,2023,137,Nov-23
November,Mackay,2023,1499,Nov-23
November,"Launceston, Tamar and the North",2023,1684,Nov-23
