Merchant Category Code,Origin State,Pct,Percentage
Restaurants,Western Australia,0.05770,5.77
Service Stations,Australian Capital Territory,0.05590,5.59
Service Stations,New South Wales,0.13330,13.33
Service Stations,Northern Territory,0.03150,3.15
Service Stations,Queensland,0.09280,9.28
Service Stations,South Australia,0.41600,41.6
Service Stations,Tasmania,0.01120,1.12
Service Stations,Victoria,0.17230,17.23
Service Stations,Western Australia,0.08690,8.69
Sporting Goods Stores,Australian Capital Territory,0.01130,1.13
Sporting Goods Stores,New South Wales,0.10750,10.75
Sporting Goods Stores,Northern Territory,0.04880,4.88
Sporting Goods Stores,Queensland,0.08000,8
Sporting Goods Stores,South Australia,0.56120,56.12
Sporting Goods Stores,Tasmania,0.01310,1.31
Sporting Goods Stores,Victoria,0.13400,13.4
Sporting Goods Stores,Western Australia,0.04400,4.4
Trailer Parks/Campgrounds,Australian Capital Territory,0.01220,1.22
Trailer Parks/Campgrounds,New South Wales,0.18210,18.21
Trailer Parks/Campgrounds,Northern Territory,0.02600,2.6
Trailer Parks/Campgrounds,Queensland,0.14010,14.01
Trailer Parks/Campgrounds,South Australia,0.25880,25.88
Trailer Parks/Campgrounds,Tasmania,0.01950,1.95
Trailer Parks/Campgrounds,Victoria,0.26220,26.22
Trailer Parks/Campgrounds,Western Australia,0.09910,9.91
Total Spend,Australian Capital Territory,0.02000,2
Total Spend,New South Wales,0.15480,15.48
Total Spend,Northern Territory,0.03990,3.99
Total Spend,Queensland,0.12700,12.7
Total Spend,South Australia,0.38410,38.41
Total Spend,Tasmania,0.01360,1.36
Total Spend,Victoria,0.20510,20.51
Total Spend,Western Australia,0.05540,5.54
