Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
August,Total,Gold Coast,North Coast NSW,2022,224,Aug-22
August,Total,Fraser Coast,North Coast NSW,2022,2108,Aug-22
August,Total,Darling Downs,North Coast NSW,2022,847,Aug-22
August,Total,Central Queensland,North Coast NSW,2022,386,Aug-22
August,Total,Bundaberg,North Coast NSW,2022,22,Aug-22
August,Total,Brisbane,North Coast NSW,2022,165,Aug-22
August,Total,Tropical North Queensland,New England North West,2022,59,Aug-22
August,Total,Townsville,New England North West,2022,8,Aug-22
August,Total,Sunshine Coast,New England North West,2022,202,Aug-22
August,Total,Outback,New England North West,2022,35,Aug-22
August,Total,"Launceston, Tamar and the North",New England North West,2022,10,Aug-22
August,Total,Gold Coast,New England North West,2022,60,Aug-22
August,Total,Fraser Coast,New England North West,2022,491,Aug-22
August,Total,Darling Downs,New England North West,2022,100,Aug-22
August,Total,Central Queensland,New England North West,2022,104,Aug-22
August,Total,Brisbane,New England North West,2022,49,Aug-22
August,Total,Tropical North Queensland,"Murray River, Lakes and Coorong",2022,11,Aug-22
August,Total,Townsville,"Murray River, Lakes and Coorong",2022,6,Aug-22
August,Total,Sunshine Coast,"Murray River, Lakes and Coorong",2022,2,Aug-22
August,Total,Outback,"Murray River, Lakes and Coorong",2022,4,Aug-22
August,Total,Whitsundays,Melbourne,2022,35,Aug-22
August,Total,Tropical North Queensland,Melbourne,2022,816,Aug-22
August,Total,Townsville,Melbourne,2022,117,Aug-22
August,Total,Sunshine Coast,Melbourne,2022,640,Aug-22
August,Total,Outback,Melbourne,2022,201,Aug-22
August,Total,Mackay,Melbourne,2022,48,Aug-22
August,Total,"Launceston, Tamar and the North",Melbourne,2022,20,Aug-22
August,Total,Gold Coast,Melbourne,2022,43,Aug-22
August,Total,Fraser Coast,Melbourne,2022,1608,Aug-22
August,Total,Darling Downs,Melbourne,2022,70,Aug-22
August,Total,Central Queensland,Melbourne,2022,347,Aug-22
August,Total,Bundaberg,Melbourne,2022,10,Aug-22
August,Total,Brisbane,Melbourne,2022,102,Aug-22
August,Total,Tropical North Queensland,Mallee,2022,14,Aug-22
August,Total,Sunshine Coast,Mallee,2022,14,Aug-22
August,Total,Central Queensland,Mallee,2022,3,Aug-22
August,Total,Whitsundays,Mackay,2022,268,Aug-22
August,Total,Tropical North Queensland,Mackay,2022,655,Aug-22
August,Total,Townsville,Mackay,2022,115,Aug-22
August,Total,Sunshine Coast,Mackay,2022,200,Aug-22
August,Total,Outback,Mackay,2022,52,Aug-22
August,Total,Mackay,Mackay,2022,1185,Aug-22
August,Total,"Launceston, Tamar and the North",Mackay,2022,17,Aug-22
August,Total,Fraser Coast,Mackay,2022,523,Aug-22
August,Total,Darling Downs,Mackay,2022,9,Aug-22
August,Total,Central Queensland,Mackay,2022,260,Aug-22
August,Total,Brisbane,Mackay,2022,3,Aug-22
August,Total,Tropical North Queensland,Macedon,2022,67,Aug-22
August,Total,Townsville,Macedon,2022,18,Aug-22
August,Total,Sunshine Coast,Macedon,2022,100,Aug-22
August,Total,Outback,Macedon,2022,64,Aug-22
August,Total,Mackay,Macedon,2022,6,Aug-22
August,Total,"Launceston, Tamar and the North",Macedon,2022,2,Aug-22
August,Total,Fraser Coast,Macedon,2022,110,Aug-22
August,Total,Darling Downs,Macedon,2022,11,Aug-22
August,Total,Central Queensland,Macedon,2022,50,Aug-22
August,Total,Brisbane,Macedon,2022,10,Aug-22
August,Total,Outback,Litchfield Kakadu Arnhem,2022,2,Aug-22
August,Total,Tropical North Queensland,Limestone Coast,2022,41,Aug-22
August,Total,Sunshine Coast,Limestone Coast,2022,24,Aug-22
August,Total,Outback,Limestone Coast,2022,8,Aug-22
August,Total,Tropical North Queensland,Launceston and the North,2022,49,Aug-22
August,Total,Townsville,Launceston and the North,2022,14,Aug-22
August,Total,Sunshine Coast,Launceston and the North,2022,151,Aug-22
August,Total,Outback,Launceston and the North,2022,26,Aug-22
August,Total,"Launceston, Tamar and the North",Launceston and the North,2022,2,Aug-22
August,Total,Gold Coast,Launceston and the North,2022,3,Aug-22
August,Total,Fraser Coast,Launceston and the North,2022,285,Aug-22
August,Total,Darling Downs,Launceston and the North,2022,6,Aug-22
August,Total,Central Queensland,Launceston and the North,2022,5,Aug-22
August,Total,Brisbane,Launceston and the North,2022,1,Aug-22
August,Total,Tropical North Queensland,Lasseter,2022,18,Aug-22
August,Total,Townsville,Lasseter,2022,3,Aug-22
August,Total,Outback,Lasseter,2022,9,Aug-22
August,Total,Fraser Coast,Lasseter,2022,14,Aug-22
August,Total,Central Queensland,Lasseter,2022,4,Aug-22
August,Total,Whitsundays,Lakes,2022,6,Aug-22
August,Total,Tropical North Queensland,Lakes,2022,68,Aug-22
August,Total,Townsville,Lakes,2022,7,Aug-22
August,Total,Sunshine Coast,Lakes,2022,99,Aug-22
August,Total,Outback,Lakes,2022,8,Aug-22
August,Total,Gold Coast,Lakes,2022,2,Aug-22
August,Total,Fraser Coast,Lakes,2022,54,Aug-22
August,Total,Darling Downs,Lakes,2022,6,Aug-22
August,Total,Central Queensland,Lakes,2022,4,Aug-22
August,Total,Sunshine Coast,Katherine Daly,2022,5,Aug-22
August,Total,Fraser Coast,Katherine Daly,2022,24,Aug-22
August,Total,Tropical North Queensland,Kangaroo Island,2022,22,Aug-22
August,Total,Sunshine Coast,Kangaroo Island,2022,9,Aug-22
August,Total,Tropical North Queensland,Hunter,2022,390,Aug-22
August,Total,Townsville,Hunter,2022,65,Aug-22
August,Total,Sunshine Coast,Hunter,2022,238,Aug-22
August,Total,Outback,Hunter,2022,161,Aug-22
August,Total,Mackay,Hunter,2022,7,Aug-22
August,Total,"Launceston, Tamar and the North",Hunter,2022,8,Aug-22
August,Total,Gold Coast,Hunter,2022,6,Aug-22
August,Total,Fraser Coast,Hunter,2022,1225,Aug-22
August,Total,Darling Downs,Hunter,2022,92,Aug-22
August,Total,Central Queensland,Hunter,2022,187,Aug-22
August,Total,Bundaberg,Hunter,2022,4,Aug-22
August,Total,Brisbane,Hunter,2022,21,Aug-22
August,Total,Whitsundays,Hobart and the South,2022,14,Aug-22
August,Total,Tropical North Queensland,Hobart and the South,2022,219,Aug-22
August,Total,Townsville,Hobart and the South,2022,71,Aug-22
August,Total,Sunshine Coast,Hobart and the South,2022,72,Aug-22
August,Total,Outback,Hobart and the South,2022,45,Aug-22
August,Total,Mackay,Hobart and the South,2022,26,Aug-22
August,Total,"Launceston, Tamar and the North",Hobart and the South,2022,6,Aug-22
August,Total,Fraser Coast,Hobart and the South,2022,133,Aug-22
August,Total,Darling Downs,Hobart and the South,2022,20,Aug-22
August,Total,Central Queensland,Hobart and the South,2022,88,Aug-22
August,Total,Tropical North Queensland,High Country,2022,208,Aug-22
August,Total,Townsville,High Country,2022,40,Aug-22
August,Total,Sunshine Coast,High Country,2022,143,Aug-22
August,Total,Outback,High Country,2022,32,Aug-22
August,Total,Mackay,High Country,2022,11,Aug-22
August,Total,"Launceston, Tamar and the North",High Country,2022,4,Aug-22
August,Total,Gold Coast,High Country,2022,6,Aug-22
August,Total,Fraser Coast,High Country,2022,240,Aug-22
August,Total,Darling Downs,High Country,2022,4,Aug-22
August,Total,Central Queensland,High Country,2022,37,Aug-22
August,Total,Brisbane,High Country,2022,7,Aug-22
August,Total,Tropical North Queensland,Great Ocean Road,2022,196,Aug-22
August,Total,Townsville,Great Ocean Road,2022,55,Aug-22
August,Total,Sunshine Coast,Great Ocean Road,2022,120,Aug-22
August,Total,Outback,Great Ocean Road,2022,13,Aug-22
August,Total,Mackay,Great Ocean Road,2022,17,Aug-22
August,Total,"Launceston, Tamar and the North",Great Ocean Road,2022,6,Aug-22
August,Total,Gold Coast,Great Ocean Road,2022,11,Aug-22
August,Total,Fraser Coast,Great Ocean Road,2022,294,Aug-22
August,Total,Darling Downs,Great Ocean Road,2022,11,Aug-22
August,Total,Central Queensland,Great Ocean Road,2022,40,Aug-22
August,Total,Brisbane,Great Ocean Road,2022,6,Aug-22
August,Total,Tropical North Queensland,Goulburn,2022,27,Aug-22
August,Total,Townsville,Goulburn,2022,1,Aug-22
August,Total,Sunshine Coast,Goulburn,2022,19,Aug-22
August,Total,Outback,Goulburn,2022,8,Aug-22
August,Total,Mackay,Goulburn,2022,6,Aug-22
August,Total,Fraser Coast,Goulburn,2022,219,Aug-22
August,Total,Central Queensland,Goulburn,2022,12,Aug-22
August,Total,Bundaberg,Goulburn,2022,2,Aug-22
August,Total,Whitsundays,Gold Coast,2022,37,Aug-22
August,Total,Tropical North Queensland,Gold Coast,2022,290,Aug-22
August,Total,Townsville,Gold Coast,2022,63,Aug-22
August,Total,Sunshine Coast,Gold Coast,2022,2230,Aug-22
August,Total,Outback,Gold Coast,2022,45,Aug-22
August,Total,Mackay,Gold Coast,2022,50,Aug-22
August,Total,"Launceston, Tamar and the North",Gold Coast,2022,85,Aug-22
August,Total,Gold Coast,Gold Coast,2022,144,Aug-22
August,Total,Fraser Coast,Gold Coast,2022,1834,Aug-22
August,Total,Darling Downs,Gold Coast,2022,236,Aug-22
August,Total,Central Queensland,Gold Coast,2022,806,Aug-22
August,Total,Bundaberg,Gold Coast,2022,14,Aug-22
August,Total,Brisbane,Gold Coast,2022,516,Aug-22
August,Total,Tropical North Queensland,Gladstone,2022,2,Aug-22
August,Total,Sunshine Coast,Gladstone,2022,25,Aug-22
August,Total,Outback,Gladstone,2022,2,Aug-22
August,Total,Mackay,Gladstone,2022,6,Aug-22
August,Total,Fraser Coast,Gladstone,2022,31,Aug-22
August,Total,Central Queensland,Gladstone,2022,153,Aug-22
August,Total,Whitsundays,Gippsland,2022,15,Aug-22
August,Total,Tropical North Queensland,Gippsland,2022,240,Aug-22
August,Total,Townsville,Gippsland,2022,20,Aug-22
August,Total,Sunshine Coast,Gippsland,2022,186,Aug-22
August,Total,Outback,Gippsland,2022,81,Aug-22
August,Total,Mackay,Gippsland,2022,8,Aug-22
August,Total,Fraser Coast,Gippsland,2022,300,Aug-22
August,Total,Darling Downs,Gippsland,2022,21,Aug-22
August,Total,Central Queensland,Gippsland,2022,137,Aug-22
August,Total,Bundaberg,Gippsland,2022,10,Aug-22
August,Total,Whitsundays,Geelong and the Bellarine,2022,4,Aug-22
August,Total,Tropical North Queensland,Geelong and the Bellarine,2022,66,Aug-22
August,Total,Townsville,Geelong and the Bellarine,2022,41,Aug-22
August,Total,Sunshine Coast,Geelong and the Bellarine,2022,67,Aug-22
August,Total,Outback,Geelong and the Bellarine,2022,17,Aug-22
August,Total,Mackay,Geelong and the Bellarine,2022,24,Aug-22
August,Total,"Launceston, Tamar and the North",Geelong and the Bellarine,2022,24,Aug-22
August,Total,Gold Coast,Geelong and the Bellarine,2022,13,Aug-22
August,Total,Fraser Coast,Geelong and the Bellarine,2022,389,Aug-22
August,Total,Darling Downs,Geelong and the Bellarine,2022,12,Aug-22
August,Total,Central Queensland,Geelong and the Bellarine,2022,52,Aug-22
August,Total,Brisbane,Geelong and the Bellarine,2022,17,Aug-22
August,Total,Whitsundays,Fraser Coast,2022,2,Aug-22
August,Total,Tropical North Queensland,Fraser Coast,2022,113,Aug-22
August,Total,Townsville,Fraser Coast,2022,18,Aug-22
August,Total,Sunshine Coast,Fraser Coast,2022,922,Aug-22
August,Total,Outback,Fraser Coast,2022,20,Aug-22
August,Total,Mackay,Fraser Coast,2022,46,Aug-22
August,Total,"Launceston, Tamar and the North",Fraser Coast,2022,47,Aug-22
August,Total,Gold Coast,Fraser Coast,2022,4,Aug-22
August,Total,Fraser Coast,Fraser Coast,2022,1297,Aug-22
August,Total,Darling Downs,Fraser Coast,2022,51,Aug-22
August,Total,Central Queensland,Fraser Coast,2022,88,Aug-22
August,Total,Bundaberg,Fraser Coast,2022,12,Aug-22
August,Total,Brisbane,Fraser Coast,2022,6,Aug-22
August,Total,Sunshine Coast,Flinders Ranges and Outback,2022,4,Aug-22
August,Total,Fraser Coast,Flinders Ranges and Outback,2022,4,Aug-22
August,Total,Whitsundays,Fleurieu Peninsula,2022,30,Aug-22
August,Total,Tropical North Queensland,Fleurieu Peninsula,2022,102,Aug-22
August,Total,Townsville,Fleurieu Peninsula,2022,24,Aug-22
August,Total,Sunshine Coast,Fleurieu Peninsula,2022,42,Aug-22
August,Total,Outback,Fleurieu Peninsula,2022,29,Aug-22
August,Total,Mackay,Fleurieu Peninsula,2022,12,Aug-22
August,Total,"Launceston, Tamar and the North",Fleurieu Peninsula,2022,4,Aug-22
August,Total,Gold Coast,Fleurieu Peninsula,2022,1,Aug-22
August,Total,Fraser Coast,Fleurieu Peninsula,2022,29,Aug-22
August,Total,Darling Downs,Fleurieu Peninsula,2022,4,Aug-22
August,Total,Central Queensland,Fleurieu Peninsula,2022,78,Aug-22
August,Total,Bundaberg,Fleurieu Peninsula,2022,4,Aug-22
August,Total,Brisbane,Fleurieu Peninsula,2022,1,Aug-22
August,Total,Tropical North Queensland,Eyre Peninsula,2022,33,Aug-22
August,Total,Townsville,Eyre Peninsula,2022,14,Aug-22
August,Total,Sunshine Coast,Eyre Peninsula,2022,2,Aug-22
August,Total,Outback,Eyre Peninsula,2022,14,Aug-22
August,Total,Mackay,Eyre Peninsula,2022,6,Aug-22
August,Total,Fraser Coast,Eyre Peninsula,2022,30,Aug-22
August,Total,Darling Downs,Eyre Peninsula,2022,2,Aug-22
August,Total,Central Queensland,Eyre Peninsula,2022,3,Aug-22
August,Total,Bundaberg,Eyre Peninsula,2022,4,Aug-22
August,Total,Sunshine Coast,East Coast,2022,10,Aug-22
August,Total,Central Queensland,East Coast,2022,4,Aug-22
August,Total,Whitsundays,Destination Perth,2022,40,Aug-22
August,Total,Tropical North Queensland,Destination Perth,2022,361,Aug-22
August,Total,Townsville,Destination Perth,2022,80,Aug-22
August,Total,Sunshine Coast,Destination Perth,2022,124,Aug-22
August,Total,Outback,Destination Perth,2022,57,Aug-22
August,Total,Mackay,Destination Perth,2022,14,Aug-22
August,Total,"Launceston, Tamar and the North",Destination Perth,2022,7,Aug-22
August,Total,Gold Coast,Destination Perth,2022,19,Aug-22
August,Total,Fraser Coast,Destination Perth,2022,102,Aug-22
August,Total,Darling Downs,Destination Perth,2022,14,Aug-22
August,Total,Central Queensland,Destination Perth,2022,73,Aug-22
August,Total,Bundaberg,Destination Perth,2022,11,Aug-22
August,Total,Brisbane,Destination Perth,2022,7,Aug-22
August,Total,Whitsundays,Darwin,2022,14,Aug-22
August,Total,Tropical North Queensland,Darwin,2022,66,Aug-22
August,Total,Townsville,Darwin,2022,8,Aug-22
August,Total,Sunshine Coast,Darwin,2022,25,Aug-22
August,Total,Outback,Darwin,2022,8,Aug-22
August,Total,Mackay,Darwin,2022,5,Aug-22
August,Total,Fraser Coast,Darwin,2022,77,Aug-22
August,Total,Darling Downs,Darwin,2022,46,Aug-22
August,Total,Central Queensland,Darwin,2022,10,Aug-22
August,Total,Tropical North Queensland,Clare Valley,2022,26,Aug-22
August,Total,Townsville,Clare Valley,2022,4,Aug-22
August,Total,Sunshine Coast,Clare Valley,2022,19,Aug-22
August,Total,Mackay,Clare Valley,2022,4,Aug-22
August,Total,"Launceston, Tamar and the North",Clare Valley,2022,2,Aug-22
August,Total,Fraser Coast,Clare Valley,2022,45,Aug-22
August,Total,Darling Downs,Clare Valley,2022,2,Aug-22
August,Total,Bundaberg,Clare Valley,2022,6,Aug-22
August,Total,Tropical North Queensland,Central NSW,2022,31,Aug-22
August,Total,Townsville,Central NSW,2022,13,Aug-22
August,Total,Sunshine Coast,Central NSW,2022,88,Aug-22
August,Total,Outback,Central NSW,2022,28,Aug-22
August,Total,Mackay,Central NSW,2022,12,Aug-22
August,Total,"Launceston, Tamar and the North",Central NSW,2022,4,Aug-22
August,Total,Gold Coast,Central NSW,2022,5,Aug-22
August,Total,Fraser Coast,Central NSW,2022,250,Aug-22
August,Total,Darling Downs,Central NSW,2022,18,Aug-22
August,Total,Central Queensland,Central NSW,2022,56,Aug-22
August,Total,Whitsundays,Central Murray,2022,2,Aug-22
August,Total,Tropical North Queensland,Central Murray,2022,83,Aug-22
August,Total,Townsville,Central Murray,2022,4,Aug-22
August,Total,Sunshine Coast,Central Murray,2022,45,Aug-22
August,Total,Outback,Central Murray,2022,12,Aug-22
August,Total,Mackay,Central Murray,2022,2,Aug-22
August,Total,Gold Coast,Central Murray,2022,2,Aug-22
August,Total,Fraser Coast,Central Murray,2022,52,Aug-22
August,Total,Central Queensland,Central Murray,2022,10,Aug-22
August,Total,Brisbane,Central Murray,2022,2,Aug-22
August,Total,Tropical North Queensland,Central Highlands,2022,2,Aug-22
August,Total,Sunshine Coast,Central Highlands,2022,6,Aug-22
August,Total,Mackay,Central Highlands,2022,2,Aug-22
August,Total,Darling Downs,Central Highlands,2022,1,Aug-22
August,Total,Brisbane,Central Highlands,2022,2,Aug-22
August,Total,Whitsundays,Central Coast,2022,55,Aug-22
August,Total,Tropical North Queensland,Central Coast,2022,192,Aug-22
August,Total,Townsville,Central Coast,2022,34,Aug-22
August,Total,Sunshine Coast,Central Coast,2022,135,Aug-22
August,Total,Outback,Central Coast,2022,23,Aug-22
August,Total,Mackay,Central Coast,2022,1,Aug-22
August,Total,"Launceston, Tamar and the North",Central Coast,2022,3,Aug-22
August,Total,Gold Coast,Central Coast,2022,21,Aug-22
August,Total,Fraser Coast,Central Coast,2022,729,Aug-22
August,Total,Darling Downs,Central Coast,2022,9,Aug-22
August,Total,Central Queensland,Central Coast,2022,89,Aug-22
August,Total,Bundaberg,Central Coast,2022,8,Aug-22
August,Total,Brisbane,Central Coast,2022,12,Aug-22
August,Total,Whitsundays,Capricorn,2022,34,Aug-22
August,Total,Tropical North Queensland,Capricorn,2022,393,Aug-22
August,Total,Townsville,Capricorn,2022,41,Aug-22
August,Total,Sunshine Coast,Capricorn,2022,249,Aug-22
August,Total,Outback,Capricorn,2022,22,Aug-22
August,Total,Mackay,Capricorn,2022,176,Aug-22
August,Total,Gold Coast,Capricorn,2022,6,Aug-22
August,Total,Fraser Coast,Capricorn,2022,333,Aug-22
August,Total,Darling Downs,Capricorn,2022,3,Aug-22
August,Total,Central Queensland,Capricorn,2022,1571,Aug-22
August,Total,Bundaberg,Capricorn,2022,7,Aug-22
August,Total,Brisbane,Capricorn,2022,38,Aug-22
August,Total,Whitsundays,Capital Country,2022,19,Aug-22
August,Total,Tropical North Queensland,Capital Country,2022,113,Aug-22
August,Total,Townsville,Capital Country,2022,7,Aug-22
August,Total,Sunshine Coast,Capital Country,2022,46,Aug-22
August,Total,Outback,Capital Country,2022,25,Aug-22
August,Total,Mackay,Capital Country,2022,6,Aug-22
August,Total,"Launceston, Tamar and the North",Capital Country,2022,6,Aug-22
August,Total,Gold Coast,Capital Country,2022,2,Aug-22
August,Total,Fraser Coast,Capital Country,2022,182,Aug-22
August,Total,Central Queensland,Capital Country,2022,16,Aug-22
August,Total,Brisbane,Capital Country,2022,9,Aug-22
August,Total,Tropical North Queensland,Canberra,2022,82,Aug-22
August,Total,Townsville,Canberra,2022,28,Aug-22
August,Total,Sunshine Coast,Canberra,2022,109,Aug-22
August,Total,Outback,Canberra,2022,61,Aug-22
August,Total,Mackay,Canberra,2022,14,Aug-22
August,Total,"Launceston, Tamar and the North",Canberra,2022,7,Aug-22
August,Total,Fraser Coast,Canberra,2022,179,Aug-22
August,Total,Darling Downs,Canberra,2022,12,Aug-22
August,Total,Central Queensland,Canberra,2022,96,Aug-22
August,Total,Bundaberg,Canberra,2022,2,Aug-22
August,Total,Brisbane,Canberra,2022,23,Aug-22
August,Total,Whitsundays,Bundaberg,2022,12,Aug-22
August,Total,Tropical North Queensland,Bundaberg,2022,69,Aug-22
August,Total,Townsville,Bundaberg,2022,16,Aug-22
August,Total,Sunshine Coast,Bundaberg,2022,423,Aug-22
August,Total,Outback,Bundaberg,2022,43,Aug-22
August,Total,Mackay,Bundaberg,2022,14,Aug-22
August,Total,"Launceston, Tamar and the North",Bundaberg,2022,34,Aug-22
August,Total,Gold Coast,Bundaberg,2022,6,Aug-22
August,Total,Fraser Coast,Bundaberg,2022,606,Aug-22
August,Total,Darling Downs,Bundaberg,2022,16,Aug-22
August,Total,Central Queensland,Bundaberg,2022,510,Aug-22
August,Total,Bundaberg,Bundaberg,2022,37,Aug-22
August,Total,Brisbane,Bundaberg,2022,7,Aug-22
August,Total,Whitsundays,Brisbane,2022,102,Aug-22
August,Total,Tropical North Queensland,Brisbane,2022,1745,Aug-22
August,Total,Townsville,Brisbane,2022,286,Aug-22
August,Total,Sunshine Coast,Brisbane,2022,20242,Aug-22
August,Total,Outback,Brisbane,2022,420,Aug-22
August,Total,Mackay,Brisbane,2022,290,Aug-22
August,Total,"Launceston, Tamar and the North",Brisbane,2022,2505,Aug-22
August,Total,Gold Coast,Brisbane,2022,593,Aug-22
August,Total,Fraser Coast,Brisbane,2022,15091,Aug-22
August,Total,Darling Downs,Brisbane,2022,2709,Aug-22
August,Total,Central Queensland,Brisbane,2022,3603,Aug-22
August,Total,Bundaberg,Brisbane,2022,88,Aug-22
August,Total,Brisbane,Brisbane,2022,5690,Aug-22
August,Total,Whitsundays,Blue Mountains,2022,8,Aug-22
August,Total,Tropical North Queensland,Blue Mountains,2022,428,Aug-22
August,Total,Townsville,Blue Mountains,2022,4,Aug-22
August,Total,Sunshine Coast,Blue Mountains,2022,72,Aug-22
August,Total,Outback,Blue Mountains,2022,47,Aug-22
August,Total,Mackay,Blue Mountains,2022,9,Aug-22
August,Total,"Launceston, Tamar and the North",Blue Mountains,2022,8,Aug-22
August,Total,Gold Coast,Blue Mountains,2022,2,Aug-22
August,Total,Fraser Coast,Blue Mountains,2022,772,Aug-22
August,Total,Central Queensland,Blue Mountains,2022,27,Aug-22
August,Total,Brisbane,Blue Mountains,2022,16,Aug-22
August,Total,Whitsundays,Bendigo Loddon,2022,3,Aug-22
August,Total,Tropical North Queensland,Bendigo Loddon,2022,111,Aug-22
August,Total,Sunshine Coast,Bendigo Loddon,2022,104,Aug-22
August,Total,Outback,Bendigo Loddon,2022,39,Aug-22
August,Total,Mackay,Bendigo Loddon,2022,12,Aug-22
August,Total,Fraser Coast,Bendigo Loddon,2022,92,Aug-22
August,Total,Darling Downs,Bendigo Loddon,2022,4,Aug-22
August,Total,Central Queensland,Bendigo Loddon,2022,18,Aug-22
August,Total,Tropical North Queensland,Barossa,2022,32,Aug-22
August,Total,Townsville,Barossa,2022,1,Aug-22
August,Total,Sunshine Coast,Barossa,2022,12,Aug-22
August,Total,Outback,Barossa,2022,14,Aug-22
August,Total,Mackay,Barossa,2022,2,Aug-22
August,Total,"Launceston, Tamar and the North",Barossa,2022,2,Aug-22
August,Total,Fraser Coast,Barossa,2022,48,Aug-22
August,Total,Central Queensland,Barossa,2022,6,Aug-22
August,Total,Brisbane,Barossa,2022,2,Aug-22
August,Total,Tropical North Queensland,Ballarat,2022,2,Aug-22
August,Total,Sunshine Coast,Ballarat,2022,14,Aug-22
August,Total,Fraser Coast,Ballarat,2022,4,Aug-22
August,Total,Central Queensland,Ballarat,2022,4,Aug-22
August,Total,Tropical North Queensland,Australia's South West,2022,101,Aug-22
August,Total,Townsville,Australia's South West,2022,4,Aug-22
August,Total,Sunshine Coast,Australia's South West,2022,12,Aug-22
August,Total,Outback,Australia's South West,2022,4,Aug-22
August,Total,Mackay,Australia's South West,2022,2,Aug-22
August,Total,"Launceston, Tamar and the North",Australia's South West,2022,2,Aug-22
August,Total,Fraser Coast,Australia's South West,2022,43,Aug-22
August,Total,Central Queensland,Australia's South West,2022,17,Aug-22
August,Total,Brisbane,Australia's South West,2022,5,Aug-22
August,Total,Tropical North Queensland,Australia's North West,2022,10,Aug-22
August,Total,Sunshine Coast,Australia's North West,2022,17,Aug-22
August,Total,Outback,Australia's North West,2022,4,Aug-22
August,Total,Fraser Coast,Australia's North West,2022,6,Aug-22
August,Total,Central Queensland,Australia's North West,2022,7,Aug-22
August,Total,Bundaberg,Australia's North West,2022,1,Aug-22
August,Total,Tropical North Queensland,Australia's Golden Outback,2022,30,Aug-22
August,Total,Townsville,Australia's Golden Outback,2022,4,Aug-22
August,Total,Sunshine Coast,Australia's Golden Outback,2022,51,Aug-22
August,Total,"Launceston, Tamar and the North",Australia's Golden Outback,2022,1,Aug-22
August,Total,Fraser Coast,Australia's Golden Outback,2022,10,Aug-22
August,Total,Central Queensland,Australia's Golden Outback,2022,4,Aug-22
August,Total,Tropical North Queensland,Australia's Coral Coast,2022,12,Aug-22
August,Total,Townsville,Australia's Coral Coast,2022,3,Aug-22
August,Total,Sunshine Coast,Australia's Coral Coast,2022,4,Aug-22
August,Total,Fraser Coast,Australia's Coral Coast,2022,25,Aug-22
August,Total,Central Queensland,Australia's Coral Coast,2022,2,Aug-22
August,Total,Tropical North Queensland,Adelaide Hills,2022,70,Aug-22
August,Total,Townsville,Adelaide Hills,2022,10,Aug-22
August,Total,Sunshine Coast,Adelaide Hills,2022,8,Aug-22
August,Total,Mackay,Adelaide Hills,2022,10,Aug-22
August,Total,Fraser Coast,Adelaide Hills,2022,6,Aug-22
August,Total,Central Queensland,Adelaide Hills,2022,16,Aug-22
August,Total,Bundaberg,Adelaide Hills,2022,3,Aug-22
August,Total,Brisbane,Adelaide Hills,2022,2,Aug-22
August,Total,Whitsundays,Adelaide,2022,25,Aug-22
August,Total,Tropical North Queensland,Adelaide,2022,163,Aug-22
August,Total,Townsville,Adelaide,2022,11,Aug-22
August,Total,Sunshine Coast,Adelaide,2022,73,Aug-22
August,Total,Outback,Adelaide,2022,35,Aug-22
August,Total,Mackay,Adelaide,2022,4,Aug-22
August,Total,"Launceston, Tamar and the North",Adelaide,2022,3,Aug-22
August,Total,Fraser Coast,Adelaide,2022,110,Aug-22
August,Total,Darling Downs,Adelaide,2022,5,Aug-22
August,Total,Central Queensland,Adelaide,2022,29,Aug-22
August,Total,Bundaberg,Adelaide,2022,4,Aug-22
August,Total,Brisbane,Adelaide,2022,2,Aug-22
September,Total,Tropical North Queensland,Yorke Peninsula,2022,4,Sep-22
September,Total,Townsville,Yorke Peninsula,2022,4,Sep-22
September,Total,Whitsundays,Yarra Valley and Dandenong Ranges,2022,61,Sep-22
September,Total,Tropical North Queensland,Yarra Valley and Dandenong Ranges,2022,126,Sep-22
September,Total,Townsville,Yarra Valley and Dandenong Ranges,2022,18,Sep-22
September,Total,Sunshine Coast,Yarra Valley and Dandenong Ranges,2022,283,Sep-22
September,Total,Outback,Yarra Valley and Dandenong Ranges,2022,26,Sep-22
September,Total,Mackay,Yarra Valley and Dandenong Ranges,2022,4,Sep-22
September,Total,"Launceston, Tamar and the North",Yarra Valley and Dandenong Ranges,2022,9,Sep-22
September,Total,Fraser Coast,Yarra Valley and Dandenong Ranges,2022,492,Sep-22
September,Total,Darling Downs,Yarra Valley and Dandenong Ranges,2022,39,Sep-22
September,Total,Central Queensland,Yarra Valley and Dandenong Ranges,2022,36,Sep-22
September,Total,Brisbane,Yarra Valley and Dandenong Ranges,2022,14,Sep-22
September,Total,Fraser Coast,Wimmera,2022,7,Sep-22
September,Total,Central Queensland,Wimmera,2022,2,Sep-22
September,Total,Tropical North Queensland,Whitsundays,2022,42,Sep-22
September,Total,Townsville,Whitsundays,2022,23,Sep-22
September,Total,Central Queensland,Whitsundays,2022,2,Sep-22
September,Total,Tropical North Queensland,Western Grampians,2022,16,Sep-22
September,Total,Townsville,Western Grampians,2022,3,Sep-22
September,Total,Sunshine Coast,Western Grampians,2022,3,Sep-22
September,Total,Outback,Western Grampians,2022,2,Sep-22
September,Total,Fraser Coast,Western Grampians,2022,40,Sep-22
September,Total,Darling Downs,Western Grampians,2022,4,Sep-22
September,Total,Central Queensland,Western Grampians,2022,8,Sep-22
