Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
April,Total,Gold Coast,South Coast,2022,4,Apr-22
April,Total,Fraser Coast,South Coast,2022,780,Apr-22
April,Total,Darling Downs,South Coast,2022,20,Apr-22
April,Total,Central Queensland,South Coast,2022,66,Apr-22
April,Total,Brisbane,South Coast,2022,5,Apr-22
April,Total,Tropical North Queensland,Snowy Mountains,2022,2,Apr-22
April,Total,Townsville,Snowy Mountains,2022,8,Apr-22
April,Total,Sunshine Coast,Snowy Mountains,2022,13,Apr-22
April,Total,Fraser Coast,Snowy Mountains,2022,133,Apr-22
April,Total,Darling Downs,Snowy Mountains,2022,2,Apr-22
April,Total,Central Queensland,Snowy Mountains,2022,5,Apr-22
April,Total,Brisbane,Snowy Mountains,2022,8,Apr-22
April,Total,Tropical North Queensland,Riverland,2022,2,Apr-22
April,Total,Sunshine Coast,Riverland,2022,9,Apr-22
April,Total,Fraser Coast,Riverland,2022,46,Apr-22
April,Total,Central Queensland,Riverland,2022,4,Apr-22
April,Total,Tropical North Queensland,Riverina,2022,42,Apr-22
April,Total,Sunshine Coast,Riverina,2022,19,Apr-22
April,Total,Outback,Riverina,2022,18,Apr-22
April,Total,"Launceston, Tamar and the North",Riverina,2022,2,Apr-22
April,Total,Fraser Coast,Riverina,2022,124,Apr-22
April,Total,Central Queensland,Riverina,2022,6,Apr-22
April,Total,Brisbane,Riverina,2022,2,Apr-22
April,Total,Whitsundays,Queensland Country,2022,11,Apr-22
April,Total,Tropical North Queensland,Queensland Country,2022,174,Apr-22
April,Total,Townsville,Queensland Country,2022,44,Apr-22
April,Total,Sunshine Coast,Queensland Country,2022,1883,Apr-22
April,Total,Outback,Queensland Country,2022,77,Apr-22
April,Total,Mackay,Queensland Country,2022,40,Apr-22
April,Total,"Launceston, Tamar and the North",Queensland Country,2022,146,Apr-22
April,Total,Gold Coast,Queensland Country,2022,51,Apr-22
April,Total,Fraser Coast,Queensland Country,2022,2097,Apr-22
April,Total,Darling Downs,Queensland Country,2022,506,Apr-22
April,Total,Central Queensland,Queensland Country,2022,516,Apr-22
April,Total,Bundaberg,Queensland Country,2022,26,Apr-22
April,Total,Brisbane,Queensland Country,2022,351,Apr-22
April,Total,Sunshine Coast,Phillip Island,2022,19,Apr-22
April,Total,Whitsundays,Peninsula,2022,25,Apr-22
April,Total,Tropical North Queensland,Peninsula,2022,81,Apr-22
April,Total,Townsville,Peninsula,2022,8,Apr-22
April,Total,Sunshine Coast,Peninsula,2022,41,Apr-22
April,Total,Outback,Peninsula,2022,8,Apr-22
