Suburb,Month of Dates,Occupancy Percent
Bellmere,Feb-22,30.71
Bellmere,Jan-22,45.86
Bellmere,Dec-21,39.49
Bellmere,Nov-21,66.67
Bellmere,Oct-21,55.38
Bellmere,Sep-21,66.67
Bellmere,Aug-21,56.45
Bellmere,Jul-21,58.89
Bellthorpe,Jul-23,71.7
Bellthorpe,Jun-23,61.58
Bellthorpe,May-23,72.58
Bellthorpe,Apr-23,81.36
Bellthorpe,Mar-23,82.21
Bellthorpe,Feb-23,69.29
Bellthorpe,Jan-23,69.68
Bellthorpe,Dec-22,76.77
Bellthorpe,Nov-22,73.33
Bellthorpe,Oct-22,75.48
Bellthorpe,Sep-22,88
Bellthorpe,Aug-22,74.84
Bellthorpe,Jul-22,87.1
Bellthorpe,Jun-22,88
Bellthorpe,May-22,87.1
Bellthorpe,Apr-22,94.67
Bellthorpe,Mar-22,81.88
Bellthorpe,Feb-22,97.02
Bellthorpe,Jan-22,88.71
Bellthorpe,Dec-21,85.48
Bellthorpe,Nov-21,93.33
Bellthorpe,Oct-21,85.48
Bellthorpe,Sep-21,91.67
Bellthorpe,Aug-21,86.56
Bellthorpe,Jul-21,65.73
Bongaree,Jul-23,59.48
Bongaree,Jun-23,51.55
Bongaree,May-23,41.19
Bongaree,Apr-23,46.66
Bongaree,Mar-23,42.1
Bongaree,Feb-23,42.53
Bongaree,Jan-23,53.95
Bongaree,Dec-22,56.22
Bongaree,Nov-22,64.98
Bongaree,Oct-22,66.54
Bongaree,Sep-22,67.9
Bongaree,Aug-22,61.81
Bongaree,Jul-22,65.9
Bongaree,Jun-22,55.87
Bongaree,May-22,53
Bongaree,Apr-22,62.72
Bongaree,Mar-22,59.12
Bongaree,Feb-22,56.48
Bongaree,Jan-22,68.64
Bongaree,Dec-21,66.01
Bongaree,Nov-21,61.91
Bongaree,Oct-21,67.67
Bongaree,Sep-21,64.08
Bongaree,Aug-21,57.12
Bongaree,Jul-21,59.43
Booroobin,Jul-23,63.86
Booroobin,Jun-23,59.41
Booroobin,May-23,45.87
Booroobin,Apr-23,58.84
Booroobin,Mar-23,47.04
Booroobin,Feb-23,36.23
Booroobin,Jan-23,52.12
Booroobin,Dec-22,58.08
Booroobin,Nov-22,49.39
Booroobin,Oct-22,53.58
Booroobin,Sep-22,69.96
