Sub Region,MY,ADR,LOS,Occupancy
Rest of Thalassa,August-2023,193.3,5.5,55
Rest of Thalassa,September-2023,199.3,5.4,46
Rest of Thalassa,October-2023,193.6,4.5,45
Rest of Thalassa,November-2023,189.5,7.2,34
Reynella,January-2023,151.6,13,55
Reynella,February-2023,128.4,3.9,36
Reynella,March-2023,164.7,6.8,41
Reynella,April-2023,166.1,5.4,44
Reynella,May-2023,158.5,10.7,37
Reynella,June-2023,150.8,2.8,38
Reynella,July-2023,152.8,14.4,47
Reynella,August-2023,181.1,10.2,37
Reynella,September-2023,201.1,3.7,25
Reynella,October-2023,200.6,5.1,19
Reynella,November-2023,207.6,5,27
Willunga,January-2023,276.3,3.2,71
Willunga,February-2023,266.2,3.2,50
Willunga,March-2023,266.9,2.7,60
Willunga,April-2023,281.6,2.6,63
Willunga,May-2023,255,3.3,55
Willunga,June-2023,252.7,4,59
Willunga,July-2023,268.7,3.2,55
Willunga,August-2023,278.7,2.9,46
Willunga,September-2023,281,2.7,57
Willunga,October-2023,272.1,2.7,61
Willunga,November-2023,242.2,3.8,36
