Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Bendigo Loddon,Darling Downs,68,122,79.41176471
Bendigo Loddon,Fraser Coast,"2,558","2,360",-7.740422205
Bendigo Loddon,Gold Coast,36,54,50
Bendigo Loddon,"Launceston, Tamar and the North",26,48,84.61538462
Bendigo Loddon,Mackay,118,84,-28.81355932
Bendigo Loddon,Outback,264,252,-4.545454545
Bendigo Loddon,Sunshine Coast,"1,138","1,206",5.975395431
Bendigo Loddon,Townsville,202,196,-2.97029703
Bendigo Loddon,Tropical North Queensland,"1,342",988,-26.37853949
Bendigo Loddon,Whitsundays,194,32,-83.50515464
Blue Mountains,All,"11,942","8,670",-27.39909563
Blue Mountains,Brisbane,228,296,29.8245614
Blue Mountains,Bundaberg,12,46,283.3333333
Blue Mountains,Central Queensland,606,434,-28.38283828
Blue Mountains,Darling Downs,80,204,155
Blue Mountains,Fraser Coast,"7,358","5,784",-21.39168252
Blue Mountains,Gold Coast,38,74,94.73684211
Blue Mountains,"Launceston, Tamar and the North",34,6,-82.35294118
Blue Mountains,Mackay,76,34,-55.26315789
Blue Mountains,Outback,210,190,-9.523809524
Blue Mountains,Sunshine Coast,"1,250","1,020",-18.4
Blue Mountains,Townsville,120,54,-55
Blue Mountains,Tropical North Queensland,"1,798",498,-72.3025584
Blue Mountains,Whitsundays,132,30,-77.27272727
Brisbane,All,"3,85,227","3,74,549",-2.771872169
Brisbane,Brisbane,"1,23,328","1,22,976",-0.285417748
Brisbane,Bundaberg,"1,928","1,354",-29.77178423
Brisbane,Central Queensland,"50,580","38,318",-24.24278371
Brisbane,Darling Downs,"66,124","67,504",2.086988083
Brisbane,Fraser Coast,"15,535","13,915",-10.42806566
Brisbane,Gold Coast,"13,588","13,272",-2.325581395
Brisbane,"Launceston, Tamar and the North","40,948","50,670",23.74230732
Brisbane,Mackay,"5,544","4,386",-20.88744589
Brisbane,Outback,"6,362","5,570",-12.44891544
Brisbane,Queensland Country,0,"3,626",100
Brisbane,Sunshine Coast,"1,96,286","1,92,477",-1.940535749
Brisbane,Townsville,"3,878","3,252",-16.14234141
Brisbane,Tropical North Queensland,"31,888","22,124",-30.61966884
Brisbane,Whitsundays,"2,644","3,262",23.37367625
Bundaberg,All,"32,476","30,430",-6.30003695
Bundaberg,Brisbane,312,336,7.692307692
Bundaberg,Bundaberg,562,506,-9.964412811
Bundaberg,Central Queensland,"11,546","9,386",-18.70777759
Bundaberg,Darling Downs,938,"1,120",19.40298507
Bundaberg,Fraser Coast,"10,950","10,982",0.292237443
Bundaberg,Gold Coast,114,30,-73.68421053
Bundaberg,"Launceston, Tamar and the North",584,698,19.52054795
Bundaberg,Mackay,334,408,22.15568862
Bundaberg,Outback,456,258,-43.42105263
Bundaberg,Queensland Country,0,18,100
Bundaberg,Sunshine Coast,"4,960","5,120",3.225806452
Bundaberg,Townsville,322,216,-32.91925466
Bundaberg,Tropical North Queensland,"1,246","1,264",1.444622793
Bundaberg,Whitsundays,152,88,-42.10526316
Canberra,All,"14,656","11,860",-19.07751092
Canberra,Brisbane,368,536,45.65217391
Canberra,Bundaberg,30,70,133.3333333
Canberra,Central Queensland,"2,818",694,-75.37260468
Canberra,Darling Downs,384,444,15.625
Canberra,Fraser Coast,"5,362","6,072",13.24132786
Canberra,Gold Coast,114,112,-1.754385965
Canberra,"Launceston, Tamar and the North",28,100,257.1428571
Canberra,Mackay,410,122,-70.24390244
Canberra,Outback,462,512,10.82251082
Canberra,Sunshine Coast,"1,436","1,330",-7.381615599
Canberra,Townsville,274,220,-19.7080292
Canberra,Tropical North Queensland,"2,444","1,432",-41.40752864
Canberra,Whitsundays,526,216,-58.93536122
Capital Country,All,"9,400","6,864",-26.9787234
Capital Country,Brisbane,110,158,43.63636364
Capital Country,Bundaberg,4,0,-100
Capital Country,Central Queensland,460,332,-27.82608696
Capital Country,Darling Downs,130,90,-30.76923077
Capital Country,Fraser Coast,"6,110","3,852",-36.95581015
Capital Country,Gold Coast,30,68,126.6666667
Capital Country,"Launceston, Tamar and the North",24,42,75
Capital Country,Mackay,68,64,-5.882352941
Capital Country,Outback,228,242,6.140350877
Capital Country,Sunshine Coast,924,986,6.70995671
Capital Country,Townsville,68,138,102.9411765
Capital Country,Tropical North Queensland,980,846,-13.67346939
Capital Country,Whitsundays,264,46,-82.57575758
Capricorn,All,"69,344","62,776",-9.471619751
Capricorn,Brisbane,562,548,-2.491103203
Capricorn,Bundaberg,534,380,-28.83895131
Capricorn,Central Queensland,"38,772","34,172",-11.86423192
Capricorn,Darling Downs,596,556,-6.711409396
Capricorn,Fraser Coast,"9,562","10,016",4.747960678
Capricorn,Gold Coast,100,140,40
Capricorn,"Launceston, Tamar and the North",226,264,16.81415929
Capricorn,Mackay,"6,362","4,696",-26.18673373
Capricorn,Outback,852,720,-15.49295775
Capricorn,Queensland Country,0,14,100
Capricorn,Sunshine Coast,"2,826","2,922",3.397027601
Capricorn,Townsville,904,708,-21.68141593
Capricorn,Tropical North Queensland,"7,864","7,436",-5.442522889
Capricorn,Whitsundays,184,204,10.86956522
Central Coast,All,"19,548","16,704",-14.54880295
Central Coast,Brisbane,190,180,-5.263157895
Central Coast,Bundaberg,16,2,-87.5
Central Coast,Central Queensland,"1,222","1,040",-14.89361702
Central Coast,Darling Downs,186,406,118.2795699
Central Coast,Fraser Coast,"11,696","9,736",-16.75786594
Central Coast,Gold Coast,182,66,-63.73626374
Central Coast,"Launceston, Tamar and the North",44,54,22.72727273
Central Coast,Mackay,240,102,-57.5
Central Coast,Outback,362,346,-4.419889503
Central Coast,Queensland Country,0,8,100
Central Coast,Sunshine Coast,"2,430","2,514",3.456790123
Central Coast,Townsville,356,380,6.741573034
Central Coast,Tropical North Queensland,"2,410","1,696",-29.62655602
Central Coast,Whitsundays,214,174,-18.69158879
Central Highlands,All,468,398,-14.95726496
Central Highlands,Brisbane,4,8,100
Central Highlands,Bundaberg,0,4,100
Central Highlands,Central Queensland,20,64,220
Central Highlands,Darling Downs,2,4,100
Central Highlands,Fraser Coast,266,194,-27.06766917
Central Highlands,Gold Coast,4,4,0
Central Highlands,"Launceston, Tamar and the North",34,0,-100
Central Highlands,Mackay,4,0,-100
Central Highlands,Outback,4,20,400
Central Highlands,Sunshine Coast,56,38,-32.14285714
Central Highlands,Townsville,20,8,-60
Central Highlands,Tropical North Queensland,54,54,0
Central Murray,All,"3,792","3,132",-17.40506329
Central Murray,Brisbane,114,48,-57.89473684
Central Murray,Bundaberg,0,4,100
Central Murray,Central Queensland,164,118,-28.04878049
Central Murray,Darling Downs,18,36,100
Central Murray,Fraser Coast,"1,964","1,350",-31.26272912
Central Murray,Gold Coast,12,8,-33.33333333
Central Murray,"Launceston, Tamar and the North",12,10,-16.66666667
Central Murray,Mackay,30,28,-6.666666667
Central Murray,Outback,86,152,76.74418605
Central Murray,Sunshine Coast,500,594,18.8
Central Murray,Townsville,74,48,-35.13513514
Central Murray,Tropical North Queensland,814,736,-9.582309582
Central Murray,Whitsundays,4,0,-100
Central NSW,All,"9,994","10,076",0.820492295
Central NSW,Brisbane,66,90,36.36363636
Central NSW,Bundaberg,8,8,0
Central NSW,Central Queensland,494,470,-4.858299595
Central NSW,Darling Downs,314,218,-30.57324841
Central NSW,Fraser Coast,"5,908","6,022",1.929587001
Central NSW,Gold Coast,22,6,-72.72727273
Central NSW,"Launceston, Tamar and the North",24,134,458.3333333
Central NSW,Mackay,110,82,-25.45454545
Central NSW,Outback,304,308,1.315789474
Central NSW,Sunshine Coast,"1,230","1,142",-7.154471545
Central NSW,Townsville,146,88,-39.7260274
Central NSW,Tropical North Queensland,"1,344","1,366",1.636904762
Central NSW,Whitsundays,24,142,491.6666667
Clare Valley,All,670,372,-44.47761194
Clare Valley,Brisbane,20,0,-100
Clare Valley,Bundaberg,12,4,-66.66666667
Clare Valley,Central Queensland,28,62,121.4285714
Clare Valley,Darling Downs,16,0,-100
Clare Valley,Fraser Coast,186,84,-54.83870968
Clare Valley,"Launceston, Tamar and the North",20,0,-100
Clare Valley,Mackay,24,8,-66.66666667
Clare Valley,Outback,40,78,95
Clare Valley,Sunshine Coast,76,34,-55.26315789
Clare Valley,Townsville,92,12,-86.95652174
Clare Valley,Tropical North Queensland,156,90,-42.30769231
Darwin,All,"3,606","3,256",-9.70604548
Darwin,Brisbane,48,64,33.33333333
Darwin,Bundaberg,20,12,-40
Darwin,Central Queensland,204,126,-38.23529412
Darwin,Darling Downs,210,56,-73.33333333
Darwin,Fraser Coast,"1,086",986,-9.208103131
Darwin,Gold Coast,36,6,-83.33333333
Darwin,"Launceston, Tamar and the North",32,16,-50
Darwin,Mackay,58,82,41.37931034
Darwin,Outback,82,176,114.6341463
Darwin,Sunshine Coast,282,422,49.64539007
Darwin,Townsville,158,78,-50.63291139
Darwin,Tropical North Queensland,"1,328","1,164",-12.34939759
Darwin,Whitsundays,62,68,9.677419355
Destination Perth,All,"12,452","16,024",28.68615483
Destination Perth,Brisbane,304,214,-29.60526316
Destination Perth,Bundaberg,34,22,-35.29411765
Destination Perth,Central Queensland,692,"1,150",66.1849711
Destination Perth,Darling Downs,212,312,47.16981132
Destination Perth,Fraser Coast,"3,038","4,494",47.92626728
Destination Perth,Gold Coast,280,240,-14.28571429
Destination Perth,"Launceston, Tamar and the North",120,140,16.66666667
Destination Perth,Mackay,448,452,0.892857143
Destination Perth,Outback,504,540,7.142857143
Destination Perth,Queensland Country,0,34,100
Destination Perth,Sunshine Coast,"1,580","3,122",97.59493671
Destination Perth,Townsville,698,794,13.75358166
Destination Perth,Tropical North Queensland,"4,326","4,368",0.970873786
Destination Perth,Whitsundays,216,142,-34.25925926
East Coast,All,156,174,11.53846154
East Coast,Central Queensland,8,68,750
East Coast,Darling Downs,0,4,100
East Coast,Fraser Coast,40,8,-80
East Coast,Outback,0,40,100
East Coast,Sunshine Coast,76,24,-68.42105263
East Coast,Tropical North Queensland,32,26,-18.75
East Coast,Whitsundays,0,4,100
Eyre Peninsula,All,762,924,21.25984252
Eyre Peninsula,Brisbane,4,32,700
Eyre Peninsula,Bundaberg,8,4,-50
