Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Launceston and the North,Central Queensland,110,112,1.818181818
Launceston and the North,Darling Downs,42,80,90.47619048
Launceston and the North,Fraser Coast,"1,246",740,-40.60995185
Launceston and the North,Gold Coast,16,16,0
Launceston and the North,"Launceston, Tamar and the North",4,2,-50
Launceston and the North,Mackay,40,24,-40
Launceston and the North,Outback,152,84,-44.73684211
Launceston and the North,Sunshine Coast,792,570,-28.03030303
Launceston and the North,Townsville,124,82,-33.87096774
Launceston and the North,Tropical North Queensland,544,362,-33.45588235
Launceston and the North,Whitsundays,36,10,-72.22222222
Limestone Coast,All,"1,306","1,360",4.134762634
Limestone Coast,Brisbane,24,0,-100
Limestone Coast,Central Queensland,38,96,152.6315789
Limestone Coast,Darling Downs,20,48,140
Limestone Coast,Fraser Coast,592,450,-23.98648649
Limestone Coast,Gold Coast,8,2,-75
Limestone Coast,"Launceston, Tamar and the North",0,38,100
Limestone Coast,Mackay,4,38,850
Limestone Coast,Outback,40,96,140
Limestone Coast,Sunshine Coast,214,160,-25.23364486
Limestone Coast,Townsville,26,60,130.7692308
Limestone Coast,Tropical North Queensland,340,372,9.411764706
Litchfield Kakadu Arnhem,All,324,822,153.7037037
Litchfield Kakadu Arnhem,Brisbane,0,10,100
Litchfield Kakadu Arnhem,Central Queensland,34,126,270.5882353
Litchfield Kakadu Arnhem,Fraser Coast,26,178,584.6153846
Litchfield Kakadu Arnhem,Gold Coast,0,2,100
Litchfield Kakadu Arnhem,Mackay,0,54,100
Litchfield Kakadu Arnhem,Outback,8,0,-100
Litchfield Kakadu Arnhem,Sunshine Coast,122,86,-29.50819672
Litchfield Kakadu Arnhem,Townsville,4,22,450
Litchfield Kakadu Arnhem,Tropical North Queensland,130,344,164.6153846
Macedon,All,"6,704","5,232",-21.95704057
Macedon,Brisbane,154,62,-59.74025974
Macedon,Bundaberg,20,22,10
Macedon,Central Queensland,458,242,-47.16157205
Macedon,Darling Downs,94,84,-10.63829787
Macedon,Fraser Coast,"2,962","2,538",-14.31465226
Macedon,Gold Coast,20,28,40
Macedon,"Launceston, Tamar and the North",92,20,-78.26086957
Macedon,Mackay,158,60,-62.02531646
Macedon,Outback,318,244,-23.27044025
Macedon,Sunshine Coast,986,806,-18.25557809
Macedon,Townsville,198,102,-48.48484848
Macedon,Tropical North Queensland,"1,124",942,-16.19217082
Macedon,Whitsundays,120,82,-31.66666667
Mackay,All,"59,084","50,840",-13.95301604
Mackay,Brisbane,272,118,-56.61764706
Mackay,Bundaberg,58,114,96.55172414
Mackay,Central Queensland,"6,182","4,880",-21.06114526
Mackay,Darling Downs,606,646,6.600660066
Mackay,Fraser Coast,"8,626","7,584",-12.07975887
Mackay,Gold Coast,84,80,-4.761904762
Mackay,"Launceston, Tamar and the North",212,450,112.2641509
Mackay,Mackay,"23,262","19,208",-17.42756427
Mackay,Outback,968,772,-20.24793388
Mackay,Queensland Country,0,6,100
Mackay,Sunshine Coast,"2,338","2,712",15.99657827
Mackay,Townsville,"1,944","2,192",12.75720165
Mackay,Tropical North Queensland,"7,350","6,536",-11.07482993
Mackay,Whitsundays,"7,182","5,542",-22.83486494
Mallee,All,422,376,-10.90047393
Mallee,Brisbane,0,4,100
Mallee,Bundaberg,0,8,100
Mallee,Central Queensland,14,0,-100
Mallee,Darling Downs,0,16,100
Mallee,Fraser Coast,270,138,-48.88888889
Mallee,Gold Coast,0,26,100
Mallee,"Launceston, Tamar and the North",0,8,100
Mallee,Outback,4,0,-100
Mallee,Sunshine Coast,70,132,88.57142857
Mallee,Tropical North Queensland,64,44,-31.25
Melbourne,All,"64,138","57,422",-10.47117154
Melbourne,Brisbane,"1,126","1,282",13.85435169
Melbourne,Bundaberg,74,116,56.75675676
Melbourne,Central Queensland,"4,138","3,440",-16.8680522
Melbourne,Darling Downs,"1,034",990,-4.255319149
Melbourne,Fraser Coast,"29,408","25,556",-13.09847661
Melbourne,Gold Coast,654,660,0.917431193
Melbourne,"Launceston, Tamar and the North",426,424,-0.469483568
Melbourne,Mackay,"1,174",832,-29.13117547
Melbourne,Outback,"2,056","1,938",-5.739299611
Melbourne,Queensland Country,0,18,100
Melbourne,Sunshine Coast,"8,882","9,820",10.56068453
Melbourne,Townsville,"1,506","1,298",-13.81142098
Melbourne,Tropical North Queensland,"12,422","9,476",-23.71598776
Melbourne,Whitsundays,"1,238","1,572",26.97899838
"Murray River, Lakes and Coorong",All,590,458,-22.37288136
"Murray River, Lakes and Coorong",Central Queensland,6,60,900
"Murray River, Lakes and Coorong",Fraser Coast,266,104,-60.90225564
"Murray River, Lakes and Coorong",Gold Coast,6,18,200
"Murray River, Lakes and Coorong","Launceston, Tamar and the North",4,4,0
"Murray River, Lakes and Coorong",Mackay,0,12,100
"Murray River, Lakes and Coorong",Outback,16,24,50
"Murray River, Lakes and Coorong",Sunshine Coast,74,102,37.83783784
"Murray River, Lakes and Coorong",Townsville,12,62,416.6666667
"Murray River, Lakes and Coorong",Tropical North Queensland,206,72,-65.04854369
New England North West,All,"24,344","21,720",-10.77883667
New England North West,Brisbane,"1,336","2,270",69.91017964
New England North West,Bundaberg,28,40,42.85714286
New England North West,Central Queensland,"1,702","1,282",-24.67685076
New England North West,Darling Downs,"2,970","2,688",-9.494949495
New England North West,Fraser Coast,"10,040","8,426",-16.07569721
New England North West,Gold Coast,818,"1,000",22.24938875
New England North West,"Launceston, Tamar and the North",106,118,11.32075472
New England North West,Mackay,192,50,-73.95833333
New England North West,Outback,658,484,-26.443769
New England North West,Queensland Country,0,20,100
New England North West,Sunshine Coast,"4,872","3,902",-19.90968801
New England North West,Townsville,204,178,-12.74509804
New England North West,Tropical North Queensland,"1,392","1,220",-12.35632184
New England North West,Whitsundays,26,42,61.53846154
North Coast NSW,All,"1,23,320","1,04,722",-15.08108985
North Coast NSW,Brisbane,"4,984","4,814",-3.410914928
North Coast NSW,Bundaberg,214,164,-23.36448598
North Coast NSW,Central Queensland,"12,374","9,582",-22.56343947
North Coast NSW,Darling Downs,"11,264","9,156",-18.71448864
North Coast NSW,Fraser Coast,"41,498","36,886",-11.11378862
North Coast NSW,Gold Coast,"3,884","3,914",0.772399588
North Coast NSW,"Launceston, Tamar and the North",864,"1,476",70.83333333
North Coast NSW,Mackay,"1,298","1,104",-14.94607088
North Coast NSW,Outback,"1,872","1,642",-12.28632479
North Coast NSW,Queensland Country,0,158,100
North Coast NSW,Sunshine Coast,"32,296","27,946",-13.46916027
North Coast NSW,Townsville,"1,662","1,570",-5.535499398
North Coast NSW,Tropical North Queensland,"9,706","5,696",-41.31465073
North Coast NSW,Whitsundays,"1,404",614,-56.26780627
North West,All,940,"1,530",62.76595745
North West,Brisbane,18,20,11.11111111
North West,Bundaberg,20,12,-40
North West,Central Queensland,110,92,-16.36363636
North West,Darling Downs,38,78,105.2631579
North West,Fraser Coast,228,664,191.2280702
North West,Gold Coast,4,16,300
North West,"Launceston, Tamar and the North",44,32,-27.27272727
North West,Mackay,36,0,-100
North West,Outback,40,52,30
North West,Sunshine Coast,218,196,-10.09174312
North West,Townsville,40,22,-45
North West,Tropical North Queensland,124,322,159.6774194
North West,Whitsundays,20,24,20
Outback NSW,All,"9,376","7,848",-16.29692833
Outback NSW,Brisbane,138,198,43.47826087
Outback NSW,Central Queensland,764,556,-27.22513089
Outback NSW,Darling Downs,296,240,-18.91891892
Outback NSW,Fraser Coast,"4,716","4,306",-8.693808312
Outback NSW,Gold Coast,118,68,-42.37288136
Outback NSW,"Launceston, Tamar and the North",6,44,633.3333333
Outback NSW,Mackay,82,88,7.317073171
Outback NSW,Outback,270,176,-34.81481481
Outback NSW,Sunshine Coast,"1,248",990,-20.67307692
Outback NSW,Townsville,132,114,-13.63636364
Outback NSW,Tropical North Queensland,"1,214",882,-27.3476112
Outback NSW,Whitsundays,392,186,-52.55102041
Outback Queensland,All,"58,818","50,894",-13.47206637
Outback Queensland,Brisbane,572,468,-18.18181818
Outback Queensland,Bundaberg,974,960,-1.437371663
Outback Queensland,Central Queensland,"31,142","26,442",-15.0921585
Outback Queensland,Darling Downs,"1,170",746,-36.23931624
Outback Queensland,Fraser Coast,"11,800","10,902",-7.610169492
Outback Queensland,Gold Coast,94,110,17.0212766
Outback Queensland,"Launceston, Tamar and the North",240,364,51.66666667
Outback Queensland,Mackay,"1,904","1,506",-20.90336134
Outback Queensland,Outback,858,912,6.293706294
Outback Queensland,Queensland Country,0,56,100
Outback Queensland,Sunshine Coast,"4,444","4,722",6.255625563
Outback Queensland,Townsville,608,480,-21.05263158
Outback Queensland,Tropical North Queensland,"4,824","3,110",-35.53067993
Outback Queensland,Whitsundays,188,116,-38.29787234
Peninsula,All,"10,460","8,642",-17.38049713
Peninsula,Brisbane,92,212,130.4347826
Peninsula,Bundaberg,6,0,-100
Peninsula,Central Queensland,"1,950",538,-72.41025641
Peninsula,Darling Downs,182,128,-29.67032967
Peninsula,Fraser Coast,"3,424","3,730",8.936915888
Peninsula,Gold Coast,82,54,-34.14634146
Peninsula,"Launceston, Tamar and the North",98,80,-18.36734694
Peninsula,Mackay,176,138,-21.59090909
Peninsula,Outback,308,320,3.896103896
Peninsula,Queensland Country,0,4,100
Peninsula,Sunshine Coast,"1,558","1,852",18.8703466
Peninsula,Townsville,374,258,-31.01604278
Peninsula,Tropical North Queensland,"1,904","1,224",-35.71428571
Peninsula,Whitsundays,306,104,-66.0130719
Phillip Island,All,"1,060",878,-17.16981132
Phillip Island,Brisbane,4,18,350
Phillip Island,Central Queensland,156,58,-62.82051282
Phillip Island,Darling Downs,12,16,33.33333333
Phillip Island,Fraser Coast,94,198,110.6382979
Phillip Island,Gold Coast,10,0,-100
Phillip Island,"Launceston, Tamar and the North",36,0,-100
Phillip Island,Mackay,16,2,-87.5
Phillip Island,Outback,24,50,108.3333333
Phillip Island,Sunshine Coast,406,470,15.7635468
Phillip Island,Townsville,38,4,-89.47368421
Phillip Island,Tropical North Queensland,256,62,-75.78125
Phillip Island,Whitsundays,8,0,-100
Queensland Country,All,"1,64,876","1,65,428",0.33479706
Queensland Country,Brisbane,"8,060","7,762",-3.697270471
Queensland Country,Bundaberg,520,510,-1.923076923
Queensland Country,Central Queensland,"9,004","7,564",-15.99289205
Queensland Country,Darling Downs,"12,286","13,614",10.80905095
Queensland Country,Fraser Coast,"54,716","49,970",-8.67387967
Queensland Country,Gold Coast,858,726,-15.38461538
Queensland Country,"Launceston, Tamar and the North","4,830","6,350",31.4699793
Queensland Country,Mackay,"1,004",674,-32.8685259
Queensland Country,Outback,"1,526","1,406",-7.863695937
Queensland Country,Queensland Country,0,832,100
Queensland Country,Sunshine Coast,"65,166","71,036",9.007764785
Queensland Country,Townsville,792,894,12.87878788
Queensland Country,Tropical North Queensland,"5,914","3,872",-34.52823808
Queensland Country,Whitsundays,200,218,9
Riverina,All,"4,764","4,434",-6.926952141
Riverina,Brisbane,88,64,-27.27272727
Riverina,Bundaberg,32,4,-87.5
Riverina,Central Queensland,244,224,-8.196721311
Riverina,Darling Downs,82,94,14.63414634
Riverina,Fraser Coast,"2,434","2,092",-14.05094495
Riverina,Gold Coast,18,52,188.8888889
Riverina,"Launceston, Tamar and the North",4,0,-100
Riverina,Mackay,26,58,123.0769231
Riverina,Outback,226,304,34.51327434
Riverina,Sunshine Coast,980,898,-8.367346939
Riverina,Townsville,46,100,117.3913043
Riverina,Tropical North Queensland,572,490,-14.33566434
Riverina,Whitsundays,12,54,350
Riverland,All,"1,874","1,842",-1.707577375
Riverland,Brisbane,14,24,71.42857143
Riverland,Bundaberg,0,14,100
Riverland,Central Queensland,48,90,87.5
Riverland,Darling Downs,82,74,-9.756097561
Riverland,Fraser Coast,"1,006",860,-14.51292247
Riverland,Gold Coast,0,24,100
Riverland,"Launceston, Tamar and the North",14,22,57.14285714
Riverland,Mackay,94,8,-91.4893617
Riverland,Outback,100,52,-48
Riverland,Sunshine Coast,164,226,37.80487805
Riverland,Townsville,86,84,-2.325581395
Riverland,Tropical North Queensland,266,364,36.84210526
Snowy Mountains,All,"4,352","3,776",-13.23529412
Snowy Mountains,Brisbane,62,44,-29.03225806
Snowy Mountains,Bundaberg,8,16,100
Snowy Mountains,Central Queensland,402,192,-52.23880597
Snowy Mountains,Darling Downs,52,166,219.2307692
Snowy Mountains,Fraser Coast,"2,426","1,952",-19.53833471
Snowy Mountains,Gold Coast,60,16,-73.33333333
Snowy Mountains,"Launceston, Tamar and the North",20,24,20
Snowy Mountains,Mackay,46,62,34.7826087
Snowy Mountains,Outback,120,212,76.66666667
Snowy Mountains,Sunshine Coast,550,682,24
Snowy Mountains,Townsville,62,62,0
Snowy Mountains,Tropical North Queensland,516,328,-36.43410853
Snowy Mountains,Whitsundays,28,20,-28.57142857
South Coast,All,"26,108","21,148",-18.99800827
South Coast,Brisbane,424,306,-27.83018868
South Coast,Bundaberg,56,44,-21.42857143
South Coast,Central Queensland,"1,744","1,146",-34.28899083
South Coast,Darling Downs,444,554,24.77477477
South Coast,Fraser Coast,"14,012","11,296",-19.38338567
South Coast,Gold Coast,208,242,16.34615385
South Coast,"Launceston, Tamar and the North",86,198,130.2325581
South Coast,Mackay,428,234,-45.3271028
South Coast,Outback,716,770,7.541899441
South Coast,Sunshine Coast,"3,040","2,962",-2.565789474
South Coast,Townsville,576,440,-23.61111111
South Coast,Tropical North Queensland,"3,928","2,720",-30.75356415
South Coast,Whitsundays,446,236,-47.08520179
Spa Country,All,72,134,86.11111111
Spa Country,Brisbane,0,8,100
Spa Country,Darling Downs,0,28,100
Spa Country,Fraser Coast,56,70,25
Spa Country,Gold Coast,0,2,100
Spa Country,Mackay,8,0,-100
Spa Country,Sunshine Coast,8,2,-75
Spa Country,Tropical North Queensland,0,24,100
Sunshine Coast,All,"2,03,700","1,96,921",-3.327933235
Sunshine Coast,Brisbane,"8,204","6,804",-17.06484642
Sunshine Coast,Bundaberg,758,796,5.013192612
Sunshine Coast,Central Queensland,"23,206","20,274",-12.63466345
Sunshine Coast,Darling Downs,"11,992","10,280",-14.27618412
Sunshine Coast,Fraser Coast,"89,234","81,330",-8.857610328
Sunshine Coast,Gold Coast,"1,252","1,268",1.277955272
Sunshine Coast,"Launceston, Tamar and the North","17,860","22,120",23.85218365
Sunshine Coast,Mackay,"2,254","1,628",-27.77284827
Sunshine Coast,Outback,"1,522","2,114",38.89618922
Sunshine Coast,Queensland Country,0,196,100
Sunshine Coast,Sunshine Coast,"1,61,958","1,69,462",4.633299991
Sunshine Coast,Townsville,"1,656","1,586",-4.22705314
Sunshine Coast,Tropical North Queensland,"11,212","8,316",-25.82946843
Sunshine Coast,Whitsundays,"1,032","1,118",8.333333333
Sydney,All,"83,214","75,254",-9.56569808
Sydney,Brisbane,"1,548","1,362",-12.01550388
Sydney,Bundaberg,100,78,-22
Sydney,Central Queensland,"5,094","4,380",-14.01648999
Sydney,Darling Downs,"1,758","1,686",-4.09556314
Sydney,Fraser Coast,"48,150","44,262",-8.074766355
Sydney,Gold Coast,644,780,21.11801242
Sydney,"Launceston, Tamar and the North",580,542,-6.551724138
Sydney,Mackay,"1,298","1,452",11.86440678
Sydney,Outback,"1,610","1,548",-3.850931677
Sydney,Queensland Country,0,20,100
Sydney,Sunshine Coast,"8,788","9,464",7.692307692
Sydney,Townsville,"1,270","1,030",-18.8976378
Sydney,Tropical North Queensland,"10,756","7,276",-32.35403496
Sydney,Whitsundays,"1,618","1,374",-15.08034611
The Murray,All,"4,256","5,038",18.37406015
The Murray,Brisbane,46,16,-65.2173913
The Murray,Bundaberg,20,8,-60
The Murray,Central Queensland,224,358,59.82142857
The Murray,Darling Downs,142,32,-77.46478873
The Murray,Fraser Coast,"2,318","3,004",29.594478
The Murray,Gold Coast,30,72,140
The Murray,"Launceston, Tamar and the North",12,20,66.66666667
The Murray,Mackay,38,44,15.78947368
The Murray,Outback,182,126,-30.76923077
The Murray,Sunshine Coast,538,594,10.40892193
The Murray,Townsville,86,76,-11.62790698
The Murray,Tropical North Queensland,612,496,-18.95424837
The Murray,Whitsundays,8,192,2300
Townsville,All,"76,896","65,472",-14.85642946
Townsville,Brisbane,656,480,-26.82926829
Townsville,Bundaberg,102,66,-35.29411765
Townsville,Central Queensland,"4,026","2,236",-44.46100348
Townsville,Darling Downs,754,742,-1.591511936
Townsville,Fraser Coast,"5,388","4,928",-8.53749072
Townsville,Gold Coast,144,112,-22.22222222
Townsville,"Launceston, Tamar and the North",232,184,-20.68965517
Townsville,Mackay,"2,722","2,318",-14.84202792
Townsville,Outback,"2,566","2,582",0.623538581
Townsville,Queensland Country,0,18,100
Townsville,Sunshine Coast,"2,100","2,750",30.95238095
Townsville,Townsville,"19,932","18,924",-5.057194461
Townsville,Tropical North Queensland,"36,950","29,406",-20.41677943
Townsville,Whitsundays,"1,324",726,-45.16616314
Tropical North Queensland,All,"1,08,082","1,95,230",80.63137248
Tropical North Queensland,Brisbane,542,532,-1.84501845
Tropical North Queensland,Bundaberg,58,70,20.68965517
Tropical North Queensland,Central Queensland,"3,772","3,050",-19.14103924
Tropical North Queensland,Darling Downs,"1,312",796,-39.32926829
Tropical North Queensland,Fraser Coast,"7,914","6,590",-16.72984584
Tropical North Queensland,Gold Coast,276,428,55.07246377
Tropical North Queensland,"Launceston, Tamar and the North",318,274,-13.83647799
Tropical North Queensland,Mackay,"1,330","1,354",1.804511278
Tropical North Queensland,Outback,"3,116","3,102",-0.449293967
Tropical North Queensland,Queensland Country,0,32,100
Tropical North Queensland,Sunshine Coast,"3,312","3,858",16.48550725
Tropical North Queensland,Townsville,"3,856","3,658",-5.134854772
Tropical North Queensland,Tropical North Queensland,"1,89,766","1,70,594",-10.10296892
Tropical North Queensland,Whitsundays,592,892,50.67567568
West Coast,All,220,248,12.72727273
West Coast,Brisbane,6,0,-100
West Coast,Central Queensland,34,12,-64.70588235
West Coast,Darling Downs,8,4,-50
West Coast,Fraser Coast,92,112,21.73913043
West Coast,Outback,16,8,-50
West Coast,Sunshine Coast,16,28,75
West Coast,Townsville,4,8,100
West Coast,Tropical North Queensland,44,76,72.72727273
Western Grampians,All,"1,390","1,162",-16.4028777
Western Grampians,Brisbane,336,196,-41.66666667
Western Grampians,Central Queensland,132,38,-71.21212121
Western Grampians,Darling Downs,32,12,-62.5
Western Grampians,Fraser Coast,422,522,23.69668246
Western Grampians,Gold Coast,2,0,-100
Western Grampians,"Launceston, Tamar and the North",0,12,100
Western Grampians,Mackay,0,20,100
Western Grampians,Outback,76,26,-65.78947368
Western Grampians,Sunshine Coast,76,158,107.8947368
Western Grampians,Townsville,10,26,160
Western Grampians,Tropical North Queensland,262,144,-45.03816794
Western Grampians,Whitsundays,42,8,-80.95238095
Whitsundays,All,"2,210","1,696",-23.25791855
Whitsundays,Central Queensland,10,44,340
Whitsundays,Darling Downs,8,0,-100
Whitsundays,Fraser Coast,360,324,-10
Whitsundays,"Launceston, Tamar and the North",4,0,-100
Whitsundays,Mackay,66,76,15.15151515
Whitsundays,Outback,74,90,21.62162162
Whitsundays,Sunshine Coast,566,138,-75.61837456
Whitsundays,Townsville,586,316,-46.07508532
Whitsundays,Tropical North Queensland,510,660,29.41176471
Whitsundays,Whitsundays,26,48,84.61538462
Wimmera,All,406,602,48.27586207
Wimmera,Brisbane,8,8,0
Wimmera,Central Queensland,90,54,-40
Wimmera,Darling Downs,10,6,-40
Wimmera,Fraser Coast,74,226,205.4054054
Wimmera,"Launceston, Tamar and the North",0,2,100
Wimmera,Mackay,0,12,100
Wimmera,Outback,36,22,-38.88888889
Wimmera,Sunshine Coast,52,42,-19.23076923
Wimmera,Townsville,24,6,-75
Wimmera,Tropical North Queensland,112,224,100
Yarra Valley and Dandenong Ranges,All,"20,764","18,396",-11.40435369
Yarra Valley and Dandenong Ranges,Brisbane,168,304,80.95238095
Yarra Valley and Dandenong Ranges,Bundaberg,12,16,33.33333333
Yarra Valley and Dandenong Ranges,Central Queensland,900,764,-15.11111111
Yarra Valley and Dandenong Ranges,Darling Downs,188,240,27.65957447
Yarra Valley and Dandenong Ranges,Fraser Coast,"11,430","9,560",-16.36045494
Yarra Valley and Dandenong Ranges,Gold Coast,126,128,1.587301587
Yarra Valley and Dandenong Ranges,"Launceston, Tamar and the North",44,62,40.90909091
Yarra Valley and Dandenong Ranges,Mackay,162,220,35.80246914
Yarra Valley and Dandenong Ranges,Outback,442,552,24.88687783
Yarra Valley and Dandenong Ranges,Queensland Country,0,16,100
Yarra Valley and Dandenong Ranges,Sunshine Coast,"3,068","3,408",11.0821382
Yarra Valley and Dandenong Ranges,Townsville,472,342,-27.54237288
Yarra Valley and Dandenong Ranges,Tropical North Queensland,"3,036","2,752",-9.354413702
Yarra Valley and Dandenong Ranges,Whitsundays,716,32,-95.53072626
Yorke Peninsula,All,392,730,86.2244898
Yorke Peninsula,Brisbane,4,4,0
Yorke Peninsula,Central Queensland,4,112,2700
Yorke Peninsula,Darling Downs,0,22,100
Yorke Peninsula,Fraser Coast,24,230,858.3333333
Yorke Peninsula,Mackay,0,42,100
Yorke Peninsula,Outback,130,34,-73.84615385
Yorke Peninsula,Sunshine Coast,76,110,44.73684211
Yorke Peninsula,Townsville,16,8,-50
Yorke Peninsula,Tropical North Queensland,138,168,21.73913043
