Cel Lga Name 1,Sub Region,Visit_Percent,Pct
Lachlan Shire Council,McLaren Vale/Flat,0.0001,0.01
Narrabri Shire Council,McLaren Vale/Flat,0.0001,0.01
Shire of Northam,McLaren Vale/Flat,0.0001,0.01
The DC of Orroroo Carrieton,McLaren Vale/Flat,0.0001,0.01
Anangu Pitjantjatjara Yankunytjatjara,McLaren Vale/Flat,0.0001,0.01
Ararat Rural City,McLaren Vale/Flat,0.0001,0.01
Mid-Western Regional Council,McLaren Vale/Flat,0.0001,0.01
Un-Incorporated (Nhulunbuy) Area,McLaren Vale/Flat,0.0001,0.01
Un-Incorporated (Yulara) Area,McLaren Vale/Flat,0.0001,0.01
West Wimmera Shire,McLaren Vale/Flat,0.0001,0.01
Byron Shire Council,McLaren Vale/Flat,0.0001,0.01
Derwent Valley Council,McLaren Vale/Flat,0.0001,0.01
Isaac Regional,McLaren Vale/Flat,0.0001,0.01
Livingstone Shire,McLaren Vale/Flat,0.0001,0.01
Lockyer Valley Regional,McLaren Vale/Flat,0.0001,0.01
Northern Grampians Shire,McLaren Vale/Flat,0.0001,0.01
Wangaratta Rural City,McLaren Vale/Flat,0.0001,0.01
Shire of Serpentine-Jarrahdale,McLaren Vale/Flat,0.0001,0.01
Town of Cambridge,McLaren Vale/Flat,0.0001,0.01
City of Nedlands,McLaren Vale/Flat,0.0001,0.01
DC of Elliston,McLaren Vale/Flat,0.0001,0.01
Goulburn Mulwaree Council,McLaren Vale/Flat,0.0001,0.01
Griffith City Council,McLaren Vale/Flat,0.0001,0.01
Hepburn Shire,McLaren Vale/Flat,0.0001,0.01
Orange City Council,McLaren Vale/Flat,0.0001,0.01
Southern Grampians Shire,McLaren Vale/Flat,0.0001,0.01
The DC of Peterborough,McLaren Vale/Flat,0.0001,0.01
Barkly Region,McLaren Vale/Flat,0.0001,0.01
Cessnock City Council,McLaren Vale/Flat,0.0001,0.01
City of Belmont,McLaren Vale/Flat,0.0001,0.01
Golden Plains Shire,McLaren Vale/Flat,0.0001,0.01
Gympie Regional,McLaren Vale/Flat,0.0001,0.01
Kingborough Council,McLaren Vale/Flat,0.0001,0.01
Lithgow City Council,McLaren Vale/Flat,0.0001,0.01
Swan Hill Rural City,McLaren Vale/Flat,0.0001,0.01
The DC of Karoonda East Murray,McLaren Vale/Flat,0.0001,0.01
The Flinders Ranges Council,McLaren Vale/Flat,0.0001,0.01
Unincorporated,McLaren Vale/Flat,0.0002,0.02
Wellington Shire,McLaren Vale/Flat,0.0001,0.01
Western Downs Regional,McLaren Vale/Flat,0.0001,0.01
Baw Baw Shire,McLaren Vale/Flat,0.0001,0.01
City of South Perth,McLaren Vale/Flat,0.0001,0.01
Coffs Harbour City Council,McLaren Vale/Flat,0.0001,0.01
Devonport City Council,McLaren Vale/Flat,0.0001,0.01
Maranoa Regional,McLaren Vale/Flat,0.0001,0.01
Port Macquarie-Hastings Council,McLaren Vale/Flat,0.0001,0.01
Roper Gulf Region,McLaren Vale/Flat,0.0001,0.01
Shoalhaven City Council,McLaren Vale/Flat,0.0001,0.01
Southern Mallee DC,McLaren Vale/Flat,0.0001,0.01
The DC of Kimba,McLaren Vale/Flat,0.0001,0.01
Weston Creek,McLaren Vale/Flat,0.0001,0.01
Whitsunday Regional,McLaren Vale/Flat,0.0001,0.01
East Gippsland Shire,McLaren Vale/Flat,0.0001,0.01
Hobart City Council,McLaren Vale/Flat,0.0001,0.01
The DC of Coober Pedy,McLaren Vale/Flat,0.0001,0.01
The DC of Tumby Bay,McLaren Vale/Flat,0.0001,0.01
Wingecarribee Shire Council,McLaren Vale/Flat,0.0002,0.02
Albury City Council,McLaren Vale/Flat,0.0001,0.01
Bass Coast Shire,McLaren Vale/Flat,0.0001,0.01
Gladstone Regional,McLaren Vale/Flat,0.0001,0.01
Glenelg Shire,McLaren Vale/Flat,0.0001,0.01
Macedon Ranges Shire,McLaren Vale/Flat,0.0001,0.01
Wentworth Shire Council,McLaren Vale/Flat,0.0001,0.01
Surf Coast Shire,McLaren Vale/Flat,0.0001,0.01
The Council of the Municipality of Hunters Hill,McLaren Vale/Flat,0.0003,0.03
The DC of Streaky Bay,McLaren Vale/Flat,0.0001,0.01
Burwood Council,McLaren Vale/Flat,0.0002,0.02
City of Perth,McLaren Vale/Flat,0.0001,0.01
City of Vincent,McLaren Vale/Flat,0.0002,0.02
Clarence City Council,McLaren Vale/Flat,0.0001,0.01
Tamworth Regional Council,McLaren Vale/Flat,0.0001,0.01
City of Kalamunda,McLaren Vale/Flat,0.0001,0.01
City of Mandurah,McLaren Vale/Flat,0.0002,0.02
Douglas Shire,McLaren Vale/Flat,0.0001,0.01
Mid-Coast Council,McLaren Vale/Flat,0.0002,0.02
Rockhampton Regional,McLaren Vale/Flat,0.0001,0.01
Town of Victoria Park,McLaren Vale/Flat,0.0001,0.01
Tweed Shire Council,McLaren Vale/Flat,0.0001,0.01
Bathurst Regional Council,McLaren Vale/Flat,0.0001,0.01
Bundaberg Regional,McLaren Vale/Flat,0.0002,0.02
City of Cockburn,McLaren Vale/Flat,0.0003,0.03
Latrobe City,McLaren Vale/Flat,0.0002,0.02
The DC of Cleve,McLaren Vale/Flat,0.0002,0.02
Wagga Wagga City Council,McLaren Vale/Flat,0.0001,0.01
City of Bayswater,McLaren Vale/Flat,0.0001,0.01
Queanbeyan-Palerang Regional Council,McLaren Vale/Flat,0.0001,0.01
Tuggeranong,McLaren Vale/Flat,0.0003,0.03
Glenorchy City Council,McLaren Vale/Flat,0.0003,0.03
Horsham Rural City,McLaren Vale/Flat,0.0001,0.01
Katherine Municipality,McLaren Vale/Flat,0.0002,0.02
Kingston DC,McLaren Vale/Flat,0.0001,0.01
Lane Cove Municipal Council,McLaren Vale/Flat,0.0001,0.01
Launceston City Council,McLaren Vale/Flat,0.0002,0.02
Mackay Regional,McLaren Vale/Flat,0.0002,0.02
Fraser Coast Regional,McLaren Vale/Flat,0.0003,0.03
Mitchell Shire,McLaren Vale/Flat,0.0002,0.02
Moorabool Shire,McLaren Vale/Flat,0.0002,0.02
Port Stephens Council,McLaren Vale/Flat,0.0001,0.01
Maitland City Council,McLaren Vale/Flat,0.0003,0.03
Noosa Shire,McLaren Vale/Flat,0.0004,0.04
Shire of Mundaring,McLaren Vale/Flat,0.0002,0.02
Warrnambool City,McLaren Vale/Flat,0.0002,0.02
Strathfield Municipal Council,McLaren Vale/Flat,0.0002,0.02
Woollahra Municipal Council,McLaren Vale/Flat,0.0002,0.02
City of Armadale,McLaren Vale/Flat,0.0002,0.02
City of Canning,McLaren Vale/Flat,0.0002,0.02
City of Melville,McLaren Vale/Flat,0.0002,0.02
DC of Robe,McLaren Vale/Flat,0.0003,0.03
Shellharbour City Council,McLaren Vale/Flat,0.0002,0.02
The DC of Ceduna,McLaren Vale/Flat,0.0002,0.02
Greater Shepparton City,McLaren Vale/Flat,0.0002,0.02
Townsville City,McLaren Vale/Flat,0.0003,0.03
Blue Mountains City Council,McLaren Vale/Flat,0.0003,0.03
City of Joondalup,McLaren Vale/Flat,0.0004,0.04
Gungahlin,McLaren Vale/Flat,0.0004,0.04
Mosman Municipal Council,McLaren Vale/Flat,0.0003,0.03
The DC of Mount Remarkable,McLaren Vale/Flat,0.0003,0.03
City of Rockingham,McLaren Vale/Flat,0.0003,0.03
Toowoomba Regional,McLaren Vale/Flat,0.0003,0.03
Wollondilly Shire Council,McLaren Vale/Flat,0.0002,0.02
City of Gosnells,McLaren Vale/Flat,0.0003,0.03
Hawkesbury City Council,McLaren Vale/Flat,0.0004,0.04
Nillumbik Shire,McLaren Vale/Flat,0.0004,0.04
Belconnen,McLaren Vale/Flat,0.0003,0.03
The DC of Lower Eyre Peninsula,McLaren Vale/Flat,0.0004,0.04
Canberra Central,McLaren Vale/Flat,0.0006,0.06
Maroondah City,McLaren Vale/Flat,0.0003,0.03
The Regional Council of Goyder,McLaren Vale/Flat,0.0003,0.03
Maribyrnong City,McLaren Vale/Flat,0.0004,0.04
City of Swan,McLaren Vale/Flat,0.0003,0.03
Hobsons Bay City,McLaren Vale/Flat,0.0004,0.04
Northern Areas Council,McLaren Vale/Flat,0.0003,0.03
Greater Bendigo City,McLaren Vale/Flat,0.0004,0.04
Waverley Council,McLaren Vale/Flat,0.0006,0.06
Barunga West Council,McLaren Vale/Flat,0.0005,0.05
Greater Dandenong City,McLaren Vale/Flat,0.0004,0.04
Port Phillip City,McLaren Vale/Flat,0.0005,0.05
Cardinia Shire,McLaren Vale/Flat,0.0005,0.05
Banyule City,McLaren Vale/Flat,0.0006,0.06
North Sydney Council,McLaren Vale/Flat,0.0005,0.05
Camden Council,McLaren Vale/Flat,0.0004,0.04
City of Stirling,McLaren Vale/Flat,0.0006,0.06
Randwick City Council,McLaren Vale/Flat,0.0005,0.05
Yarra Ranges Shire,McLaren Vale/Flat,0.0005,0.05
City of Canada Bay Council,McLaren Vale/Flat,0.0005,0.05
Willoughby City Council,McLaren Vale/Flat,0.0006,0.06
City of Wanneroo,McLaren Vale/Flat,0.0006,0.06
Manningham City,McLaren Vale/Flat,0.0005,0.05
Yarra City,McLaren Vale/Flat,0.0005,0.05
The DC of Grant,McLaren Vale/Flat,0.0007,0.07
Mornington Peninsula Shire,McLaren Vale/Flat,0.0005,0.05
Newcastle City Council,McLaren Vale/Flat,0.0005,0.05
Stonnington City,McLaren Vale/Flat,0.0006,0.06
Bayside City,McLaren Vale/Flat,0.0004,0.04
Naracoorte Lucindale Council,McLaren Vale/Flat,0.0007,0.07
The Council of the Shire of Hornsby,McLaren Vale/Flat,0.0007,0.07
Whitehorse City,McLaren Vale/Flat,0.0004,0.04
Ryde City Council,McLaren Vale/Flat,0.0006,0.06
Darebin City,McLaren Vale/Flat,0.0007,0.07
Ku-ring-gai Council,McLaren Vale/Flat,0.0007,0.07
Moonee Valley City,McLaren Vale/Flat,0.0006,0.06
Campbelltown City Council,McLaren Vale/Flat,0.0005,0.05
Ipswich City,McLaren Vale/Flat,0.0009,0.09
Frankston City,McLaren Vale/Flat,0.0005,0.05
Ballarat City,McLaren Vale/Flat,0.0006,0.06
Cairns Regional,McLaren Vale/Flat,0.0009,0.09
Redland City,McLaren Vale/Flat,0.0008,0.08
Broken Hill City Council,McLaren Vale/Flat,0.0007,0.07
Georges River Council,McLaren Vale/Flat,0.0006,0.06
Lake Macquarie City Council,McLaren Vale/Flat,0.0008,0.08
Moreland City,McLaren Vale/Flat,0.001,0.1
Inner West Council,McLaren Vale/Flat,0.0006,0.06
Kingston City,McLaren Vale/Flat,0.0008,0.08
Knox City,McLaren Vale/Flat,0.0008,0.08
Monash City,McLaren Vale/Flat,0.0008,0.08
Municipal Council of Roxby Downs,McLaren Vale/Flat,0.0007,0.07
Tatiara DC,McLaren Vale/Flat,0.0009,0.09
Glen Eira City,McLaren Vale/Flat,0.0011,0.11
Litchfield Municipality,McLaren Vale/Flat,0.0009,0.09
Mildura Rural City,McLaren Vale/Flat,0.0006,0.06
Wollongong City Council,McLaren Vale/Flat,0.0007,0.07
Boroondara City,McLaren Vale/Flat,0.0009,0.09
Greater Geelong City,McLaren Vale/Flat,0.001,0.1
City of Port Lincoln,McLaren Vale/Flat,0.0008,0.08
Hume City,McLaren Vale/Flat,0.0006,0.06
Liverpool City Council,McLaren Vale/Flat,0.0009,0.09
Sutherland Shire Council,McLaren Vale/Flat,0.0011,0.11
Central Coast Council,McLaren Vale/Flat,0.0009,0.09
Bayside Council,McLaren Vale/Flat,0.001,0.1
Penrith City Council,McLaren Vale/Flat,0.0009,0.09
Whittlesea City,McLaren Vale/Flat,0.001,0.1
Brimbank City,McLaren Vale/Flat,0.0013,0.13
Pastoral Unincorporated Area,McLaren Vale/Flat,0.0009,0.09
Melton City,McLaren Vale/Flat,0.0011,0.11
Renmark Paringa Council,McLaren Vale/Flat,0.0012,0.12
Wattle Range Council,McLaren Vale/Flat,0.0012,0.12
Cumberland Council,McLaren Vale/Flat,0.001,0.1
Fairfield City Council,McLaren Vale/Flat,0.0011,0.11
Wakefield Regional Council,McLaren Vale/Flat,0.0011,0.11
The Hills Shire Council,McLaren Vale/Flat,0.0012,0.12
Coorong District Council,McLaren Vale/Flat,0.0013,0.13
Melbourne City,McLaren Vale/Flat,0.0008,0.08
Alice Springs Municipality,McLaren Vale/Flat,0.0009,0.09
Sunshine Coast Regional,McLaren Vale/Flat,0.0013,0.13
City of Parramatta Council,McLaren Vale/Flat,0.0012,0.12
Council of the City of Sydney,McLaren Vale/Flat,0.001,0.1
Casey City,McLaren Vale/Flat,0.0012,0.12
Clare and Gilbert Valleys Council,McLaren Vale/Flat,0.0014,0.14
Logan City,McLaren Vale/Flat,0.0014,0.14
The Berri Barmera Council,McLaren Vale/Flat,0.001,0.1
Wyndham City,McLaren Vale/Flat,0.0015,0.15
Port Augusta City Council,McLaren Vale/Flat,0.0012,0.12
The DC of Loxton Waikerie,McLaren Vale/Flat,0.0016,0.16
Canterbury-Bankstown Council,McLaren Vale/Flat,0.0015,0.15
Northern Beaches Council,McLaren Vale/Flat,0.0021,0.21
Yorke Peninsula Council,McLaren Vale/Flat,0.0019,0.19
Palmerston Municipality,McLaren Vale/Flat,0.0015,0.15
Kangaroo Island Council,McLaren Vale/Flat,0.0027,0.27
Moreton Bay Regional,McLaren Vale/Flat,0.0018,0.18
Blacktown City Council,McLaren Vale/Flat,0.0021,0.21
The Corporation of the City of Whyalla,McLaren Vale/Flat,0.0018,0.18
Mid Murray Council,McLaren Vale/Flat,0.0026,0.26
Port Pirie Regional Council,McLaren Vale/Flat,0.0017,0.17
Copper Coast Council,McLaren Vale/Flat,0.002,0.2
Gold Coast City,McLaren Vale/Flat,0.0031,0.31
City of Mount Gambier,McLaren Vale/Flat,0.0029,0.29
Adelaide Plains Council,McLaren Vale/Flat,0.0036,0.36
Darwin Municipality,McLaren Vale/Flat,0.0044,0.44
Light Regional Council,McLaren Vale/Flat,0.0045,0.45
The Corporation of the Town of Walkerville,McLaren Vale/Flat,0.0053,0.53
Brisbane City,McLaren Vale/Flat,0.0056,0.56
The Rural City of Murray Bridge,McLaren Vale/Flat,0.0054,0.54
The Barossa Council,McLaren Vale/Flat,0.0064,0.64
Town of Gawler,McLaren Vale/Flat,0.008,0.8
The DC of Yankalilla,McLaren Vale/Flat,0.0175,1.75
City of Prospect,McLaren Vale/Flat,0.0127,1.27
Adelaide Hills Council,McLaren Vale/Flat,0.0197,1.97
Adelaide City Council,McLaren Vale/Flat,0.0183,1.83
The City of Norwood Payneham and St Peters,McLaren Vale/Flat,0.0189,1.89
Mount Barker District Council,McLaren Vale/Flat,0.0249,2.49
City of Victor Harbor,McLaren Vale/Flat,0.0412,4.12
City of Burnside,McLaren Vale/Flat,0.0371,3.71
Alexandrina Council,McLaren Vale/Flat,0.06,6
City of Playford,McLaren Vale/Flat,0.0289,2.89
City of Unley,McLaren Vale/Flat,0.0421,4.21
City of Tea Tree Gully,McLaren Vale/Flat,0.0436,4.36
City of West Torrens,McLaren Vale/Flat,0.0451,4.51
City of Holdfast Bay,McLaren Vale/Flat,0.0468,4.68
City of Salisbury,McLaren Vale/Flat,0.0551,5.51
City of Port Adelaide Enfield,McLaren Vale/Flat,0.0546,5.46
City of Charles Sturt,McLaren Vale/Flat,0.0759,7.59
City of Mitcham,McLaren Vale/Flat,0.0796,7.96
City of Marion,McLaren Vale/Flat,0.1155,11.55
Hinchinbrook Shire,Rest of South Coast,0.0001,0.01
Cabonne Shire Council,Rest of South Coast,0.0001,0.01
Parkes Shire Council,Rest of South Coast,0.0001,0.01
Shire of Dalwallinu,Rest of South Coast,0.0001,0.01
Shire of Laverton,Rest of South Coast,0.0001,0.01
Southern Midlands Council,Rest of South Coast,0.0001,0.01
Strathbogie Shire,Rest of South Coast,0.0001,0.01
Tiwi Islands Region,Rest of South Coast,0.0001,0.01
Alpine Shire,Rest of South Coast,0.0001,0.01
Cook Shire,Rest of South Coast,0.0001,0.01
Cootamundra-Gundagai Regional Council,Rest of South Coast,0.0001,0.01
Hay Shire Council,Rest of South Coast,0.0001,0.01
Lachlan Shire Council,Rest of South Coast,0.0001,0.01
Murray River Council,Rest of South Coast,0.0001,0.01
Murrindindi Shire,Rest of South Coast,0.0001,0.01
Narrabri Shire Council,Rest of South Coast,0.0001,0.01
Northern Midlands Council,Rest of South Coast,0.0001,0.01
Shire of Broome,Rest of South Coast,0.0001,0.01
Somerset Regional,Rest of South Coast,0.0001,0.01
Town of Cottesloe,Rest of South Coast,0.0001,0.01
West Daly Region,Rest of South Coast,0.0001,0.01
Central Highlands Regional,Rest of South Coast,0.0001,0.01
City of Albany,Rest of South Coast,0.0001,0.01
City of Greater Geraldton,Rest of South Coast,0.0001,0.01
City of Subiaco,Rest of South Coast,0.0001,0.01
Eurobodalla Shire Council,Rest of South Coast,0.0001,0.01
Inverell Shire Council,Rest of South Coast,0.0001,0.01
Mount Alexander Shire,Rest of South Coast,0.0001,0.01
South Gippsland Shire,Rest of South Coast,0.0001,0.01
The Council of the Municipality of Kiama,Rest of South Coast,0.0001,0.01
The DC of Franklin Harbour,Rest of South Coast,0.0001,0.01
UIA Torrens Island,Rest of South Coast,0.0001,0.01
Anangu Pitjantjatjara Yankunytjatjara,Rest of South Coast,0.0002,0.02
Ararat Rural City,Rest of South Coast,0.0001,0.01
Cassowary Coast Regional,Rest of South Coast,0.0001,0.01
Hindmarsh Shire,Rest of South Coast,0.0001,0.01
Mareeba Shire,Rest of South Coast,0.0001,0.01
Meander Valley Council,Rest of South Coast,0.0001,0.01
Mid-Western Regional Council,Rest of South Coast,0.0001,0.01
Shire of Ashburton,Rest of South Coast,0.0001,0.01
Singleton Council,Rest of South Coast,0.0001,0.01
Un-Incorporated (Nhulunbuy) Area,Rest of South Coast,0.0001,0.01
Bulloo Shire,Rest of South Coast,0.0001,0.01
Burnie City Council,Rest of South Coast,0.0001,0.01
Byron Shire Council,Rest of South Coast,0.0001,0.01
City of Busselton,Rest of South Coast,0.0001,0.01
City of Kwinana,Rest of South Coast,0.0001,0.01
Dubbo Regional Council,Rest of South Coast,0.0001,0.01
Isaac Regional,Rest of South Coast,0.0001,0.01
Livingstone Shire,Rest of South Coast,0.0001,0.01
Lockyer Valley Regional,Rest of South Coast,0.0001,0.01
Loddon Shire,Rest of South Coast,0.0001,0.01
Northern Grampians Shire,Rest of South Coast,0.0001,0.01
Sorell Council,Rest of South Coast,0.0001,0.01
Southern Downs Regional,Rest of South Coast,0.0001,0.01
Wangaratta Rural City,Rest of South Coast,0.0001,0.01
Ballina Shire Council,Rest of South Coast,0.0001,0.01
Scenic Rim Regional,Rest of South Coast,0.0001,0.01
Shire of Serpentine-Jarrahdale,Rest of South Coast,0.0001,0.01
Town of Cambridge,Rest of South Coast,0.0001,0.01
Wudinna District Council,Rest of South Coast,0.0001,0.01
Campaspe Shire,Rest of South Coast,0.0001,0.01
City of Nedlands,Rest of South Coast,0.0001,0.01
Clarence Valley Council,Rest of South Coast,0.0001,0.01
DC of Elliston,Rest of South Coast,0.0001,0.01
Goulburn Mulwaree Council,Rest of South Coast,0.0001,0.01
Griffith City Council,Rest of South Coast,0.0001,0.01
Hepburn Shire,Rest of South Coast,0.0001,0.01
Orange City Council,Rest of South Coast,0.0001,0.01
Shire of Esperance,Rest of South Coast,0.0001,0.01
Southern Grampians Shire,Rest of South Coast,0.0001,0.01
The DC of Peterborough,Rest of South Coast,0.0001,0.01
Barkly Region,Rest of South Coast,0.0001,0.01
Cessnock City Council,Rest of South Coast,0.0001,0.01
City of Belmont,Rest of South Coast,0.0001,0.01
Golden Plains Shire,Rest of South Coast,0.0001,0.01
Gympie Regional,Rest of South Coast,0.0001,0.01
Kingborough Council,Rest of South Coast,0.0002,0.02
Swan Hill Rural City,Rest of South Coast,0.0001,0.01
The Flinders Ranges Council,Rest of South Coast,0.0002,0.02
Unincorporated,Rest of South Coast,0.0001,0.01
Wellington Shire,Rest of South Coast,0.0001,0.01
Western Downs Regional,Rest of South Coast,0.0001,0.01
Baw Baw Shire,Rest of South Coast,0.0002,0.02
City of South Perth,Rest of South Coast,0.0001,0.01
Coffs Harbour City Council,Rest of South Coast,0.0002,0.02
Devonport City Council,Rest of South Coast,0.0001,0.01
Maranoa Regional,Rest of South Coast,0.0002,0.02
Port Macquarie-Hastings Council,Rest of South Coast,0.0001,0.01
Roper Gulf Region,Rest of South Coast,0.0001,0.01
Shoalhaven City Council,Rest of South Coast,0.0002,0.02
The DC of Kimba,Rest of South Coast,0.0001,0.01
Weston Creek,Rest of South Coast,0.0002,0.02
Whitsunday Regional,Rest of South Coast,0.0002,0.02
East Gippsland Shire,Rest of South Coast,0.0002,0.02
Hobart City Council,Rest of South Coast,0.0001,0.01
The DC of Coober Pedy,Rest of South Coast,0.0001,0.01
The DC of Tumby Bay,Rest of South Coast,0.0001,0.01
Wingecarribee Shire Council,Rest of South Coast,0.0001,0.01
Albury City Council,Rest of South Coast,0.0001,0.01
Bass Coast Shire,Rest of South Coast,0.0002,0.02
Gladstone Regional,Rest of South Coast,0.0001,0.01
Glenelg Shire,Rest of South Coast,0.0001,0.01
Macedon Ranges Shire,Rest of South Coast,0.0001,0.01
Wentworth Shire Council,Rest of South Coast,0.0001,0.01
Surf Coast Shire,Rest of South Coast,0.0001,0.01
The Council of the Municipality of Hunters Hill,Rest of South Coast,0.0001,0.01
Wodonga City,Rest of South Coast,0.0001,0.01
Burwood Council,Rest of South Coast,0.0002,0.02
City of Perth,Rest of South Coast,0.0002,0.02
City of Vincent,Rest of South Coast,0.0002,0.02
Clarence City Council,Rest of South Coast,0.0001,0.01
Tamworth Regional Council,Rest of South Coast,0.0002,0.02
City of Kalamunda,Rest of South Coast,0.0002,0.02
City of Mandurah,Rest of South Coast,0.0002,0.02
Douglas Shire,Rest of South Coast,0.0002,0.02
Mid-Coast Council,Rest of South Coast,0.0002,0.02
Rockhampton Regional,Rest of South Coast,0.0001,0.01
Town of Victoria Park,Rest of South Coast,0.0001,0.01
Tweed Shire Council,Rest of South Coast,0.0003,0.03
Bathurst Regional Council,Rest of South Coast,0.0001,0.01
Bundaberg Regional,Rest of South Coast,0.0001,0.01
City of Cockburn,Rest of South Coast,0.0003,0.03
Latrobe City,Rest of South Coast,0.0002,0.02
The DC of Cleve,Rest of South Coast,0.0002,0.02
Wagga Wagga City Council,Rest of South Coast,0.0002,0.02
City of Bayswater,Rest of South Coast,0.0002,0.02
Queanbeyan-Palerang Regional Council,Rest of South Coast,0.0002,0.02
Tuggeranong,Rest of South Coast,0.0002,0.02
Glenorchy City Council,Rest of South Coast,0.0002,0.02
Horsham Rural City,Rest of South Coast,0.0002,0.02
Katherine Municipality,Rest of South Coast,0.0003,0.03
Kingston DC,Rest of South Coast,0.0002,0.02
Lane Cove Municipal Council,Rest of South Coast,0.0003,0.03
Launceston City Council,Rest of South Coast,0.0003,0.03
Mackay Regional,Rest of South Coast,0.0002,0.02
Fraser Coast Regional,Rest of South Coast,0.0002,0.02
Mitchell Shire,Rest of South Coast,0.0003,0.03
Moorabool Shire,Rest of South Coast,0.0003,0.03
Port Stephens Council,Rest of South Coast,0.0003,0.03
Maitland City Council,Rest of South Coast,0.0003,0.03
Noosa Shire,Rest of South Coast,0.0003,0.03
Shire of Mundaring,Rest of South Coast,0.0001,0.01
Warrnambool City,Rest of South Coast,0.0001,0.01
Strathfield Municipal Council,Rest of South Coast,0.0003,0.03
Woollahra Municipal Council,Rest of South Coast,0.0003,0.03
City of Armadale,Rest of South Coast,0.0002,0.02
City of Canning,Rest of South Coast,0.0003,0.03
City of Melville,Rest of South Coast,0.0003,0.03
DC of Robe,Rest of South Coast,0.0003,0.03
Shellharbour City Council,Rest of South Coast,0.0004,0.04
The DC of Ceduna,Rest of South Coast,0.0003,0.03
Greater Shepparton City,Rest of South Coast,0.0003,0.03
Townsville City,Rest of South Coast,0.0004,0.04
Blue Mountains City Council,Rest of South Coast,0.0002,0.02
City of Joondalup,Rest of South Coast,0.0003,0.03
Gungahlin,Rest of South Coast,0.0003,0.03
Mosman Municipal Council,Rest of South Coast,0.0005,0.05
The DC of Mount Remarkable,Rest of South Coast,0.0003,0.03
City of Rockingham,Rest of South Coast,0.0003,0.03
Toowoomba Regional,Rest of South Coast,0.0003,0.03
Wollondilly Shire Council,Rest of South Coast,0.0003,0.03
City of Gosnells,Rest of South Coast,0.0003,0.03
Hawkesbury City Council,Rest of South Coast,0.0005,0.05
Nillumbik Shire,Rest of South Coast,0.0003,0.03
Belconnen,Rest of South Coast,0.0004,0.04
The DC of Lower Eyre Peninsula,Rest of South Coast,0.0002,0.02
Canberra Central,Rest of South Coast,0.0003,0.03
Maroondah City,Rest of South Coast,0.0005,0.05
The Regional Council of Goyder,Rest of South Coast,0.0004,0.04
Maribyrnong City,Rest of South Coast,0.0006,0.06
City of Swan,Rest of South Coast,0.0004,0.04
Hobsons Bay City,Rest of South Coast,0.0003,0.03
Northern Areas Council,Rest of South Coast,0.0004,0.04
Greater Bendigo City,Rest of South Coast,0.0006,0.06
Waverley Council,Rest of South Coast,0.0005,0.05
Barunga West Council,Rest of South Coast,0.0004,0.04
Greater Dandenong City,Rest of South Coast,0.0005,0.05
Port Phillip City,Rest of South Coast,0.0005,0.05
Cardinia Shire,Rest of South Coast,0.0006,0.06
Banyule City,Rest of South Coast,0.0005,0.05
North Sydney Council,Rest of South Coast,0.0007,0.07
Camden Council,Rest of South Coast,0.0006,0.06
City of Stirling,Rest of South Coast,0.0007,0.07
Randwick City Council,Rest of South Coast,0.0005,0.05
Yarra Ranges Shire,Rest of South Coast,0.0004,0.04
City of Canada Bay Council,Rest of South Coast,0.0007,0.07
Willoughby City Council,Rest of South Coast,0.0007,0.07
City of Wanneroo,Rest of South Coast,0.0006,0.06
Manningham City,Rest of South Coast,0.0007,0.07
Yarra City,Rest of South Coast,0.0007,0.07
The DC of Grant,Rest of South Coast,0.0008,0.08
Mornington Peninsula Shire,Rest of South Coast,0.0008,0.08
Newcastle City Council,Rest of South Coast,0.0006,0.06
Stonnington City,Rest of South Coast,0.0008,0.08
Bayside City,Rest of South Coast,0.0007,0.07
Naracoorte Lucindale Council,Rest of South Coast,0.0009,0.09
The Council of the Shire of Hornsby,Rest of South Coast,0.0008,0.08
Whitehorse City,Rest of South Coast,0.0007,0.07
Ryde City Council,Rest of South Coast,0.0008,0.08
Darebin City,Rest of South Coast,0.0008,0.08
Ku-ring-gai Council,Rest of South Coast,0.0009,0.09
Moonee Valley City,Rest of South Coast,0.0008,0.08
Campbelltown City Council,Rest of South Coast,0.0005,0.05
Ipswich City,Rest of South Coast,0.0007,0.07
Frankston City,Rest of South Coast,0.0008,0.08
Ballarat City,Rest of South Coast,0.0007,0.07
Cairns Regional,Rest of South Coast,0.0008,0.08
Redland City,Rest of South Coast,0.0009,0.09
Broken Hill City Council,Rest of South Coast,0.0007,0.07
Georges River Council,Rest of South Coast,0.0008,0.08
Lake Macquarie City Council,Rest of South Coast,0.0009,0.09
Moreland City,Rest of South Coast,0.0008,0.08
Inner West Council,Rest of South Coast,0.001,0.1
Kingston City,Rest of South Coast,0.0009,0.09
Knox City,Rest of South Coast,0.001,0.1
Monash City,Rest of South Coast,0.0007,0.07
Municipal Council of Roxby Downs,Rest of South Coast,0.001,0.1
Tatiara DC,Rest of South Coast,0.0011,0.11
Glen Eira City,Rest of South Coast,0.0011,0.11
Litchfield Municipality,Rest of South Coast,0.0012,0.12
Mildura Rural City,Rest of South Coast,0.001,0.1
Wollongong City Council,Rest of South Coast,0.0008,0.08
Boroondara City,Rest of South Coast,0.0011,0.11
Greater Geelong City,Rest of South Coast,0.0009,0.09
City of Port Lincoln,Rest of South Coast,0.0009,0.09
Hume City,Rest of South Coast,0.0009,0.09
Liverpool City Council,Rest of South Coast,0.0011,0.11
