Origin SA3,Month of Purchase Month (copy),Pct,Percent_Change
Dapto - Port Kembla,Apr-23,0.0063000,0.63
Dapto - Port Kembla,May-23,0.0434000,4.34
Darebin - North,Jan-22,0.0010000,0.1
Darebin - North,Feb-22,0.0001000,0.01
Darebin - North,Mar-22,0.0019000,0.19
Darebin - North,Apr-22,0.0674000,6.74
Darebin - North,May-22,0.0767000,7.67
Darebin - North,Jun-22,0.2261000,22.61
Darebin - North,Jul-22,0.1180000,11.8
Darebin - North,Aug-22,0.1430000,14.3
Darebin - North,Sep-22,0.0988000,9.88
Darebin - North,Oct-22,0.0828000,8.28
Darebin - North,Nov-22,0.0525000,5.25
Darebin - North,Dec-22,0.0055000,0.55
Darebin - North,Jan-23,0.0169000,1.69
Darebin - North,Feb-23,0.0083000,0.83
Darebin - North,Mar-23,0.0184000,1.84
Darebin - North,Apr-23,0.0348000,3.48
Darebin - North,May-23,0.0479000,4.79
Darebin - South,Mar-22,0.0440000,4.4
Darebin - South,Apr-22,0.3472000,34.72
Darebin - South,May-22,0.0006000,0.06
Darebin - South,Jun-22,0.0371000,3.71
Darebin - South,Jul-22,0.0847000,8.47
Darebin - South,Aug-22,0.0894000,8.94
Darebin - South,Sep-22,0.0244000,2.44
Darebin - South,Oct-22,0.0662000,6.62
Darebin - South,Nov-22,0.0569000,5.69
Darebin - South,Dec-22,0.0146000,1.46
Darebin - South,Jan-23,0.0215000,2.15
Darebin - South,Mar-23,0.0866000,8.66
Darebin - South,Apr-23,0.0786000,7.86
Darebin - South,May-23,0.0483000,4.83
Darling Downs - East,Jan-22,0.0164000,1.64
Darling Downs - East,Feb-22,0.0461000,4.61
Darling Downs - East,Mar-22,0.0321000,3.21
Darling Downs - East,Apr-22,0.0326000,3.26
Darling Downs - East,May-22,0.0411000,4.11
Darling Downs - East,Jun-22,0.1262000,12.62
Darling Downs - East,Jul-22,0.0747000,7.47
Darling Downs - East,Aug-22,0.5280000,52.8
Darling Downs - East,Sep-22,0.0317000,3.17
Darling Downs - East,Oct-22,0.0158000,1.58
Darling Downs - East,Jan-23,0.0030000,0.3
Darling Downs - East,Feb-23,0.0073000,0.73
Darling Downs - East,Apr-23,0.0025000,0.25
Darling Downs - East,May-23,0.0425000,4.25
Darling Downs (West) - Maranoa,Jan-22,0.0049000,0.49
Darling Downs (West) - Maranoa,Feb-22,0.0128000,1.28
Darling Downs (West) - Maranoa,Mar-22,0.0189000,1.89
Darling Downs (West) - Maranoa,Apr-22,0.0439000,4.39
Darling Downs (West) - Maranoa,May-22,0.0779000,7.79
Darling Downs (West) - Maranoa,Jun-22,0.1022000,10.22
Darling Downs (West) - Maranoa,Jul-22,0.1006000,10.06
Darling Downs (West) - Maranoa,Aug-22,0.2685000,26.85
Darling Downs (West) - Maranoa,Sep-22,0.0936000,9.36
Darling Downs (West) - Maranoa,Oct-22,0.1281000,12.81
Darling Downs (West) - Maranoa,Nov-22,0.0423000,4.23
Darling Downs (West) - Maranoa,Dec-22,0.0152000,1.52
Darling Downs (West) - Maranoa,Jan-23,0.0075000,0.75
Darling Downs (West) - Maranoa,Feb-23,0.0039000,0.39
Darling Downs (West) - Maranoa,Mar-23,0.0194000,1.94
Darling Downs (West) - Maranoa,Apr-23,0.0412000,4.12
Darling Downs (West) - Maranoa,May-23,0.0189000,1.89
Darwin City,Jan-22,0.0177000,1.77
Darwin City,Feb-22,0.0077000,0.77
Darwin City,Mar-22,0.0277000,2.77
Darwin City,Apr-22,0.0830000,8.3
Darwin City,May-22,0.0930000,9.3
Darwin City,Jun-22,0.1258000,12.58
Darwin City,Jul-22,0.1322000,13.22
Darwin City,Aug-22,0.1202000,12.02
Darwin City,Sep-22,0.1071000,10.71
Darwin City,Oct-22,0.0694000,6.94
Darwin City,Nov-22,0.0305000,3.05
Darwin City,Dec-22,0.0318000,3.18
Darwin City,Jan-23,0.0223000,2.23
Darwin City,Feb-23,0.0060000,0.6
Darwin City,Mar-23,0.0165000,1.65
Darwin City,Apr-23,0.0483000,4.83
Darwin City,May-23,0.0608000,6.08
Darwin Suburbs,Jan-22,0.0341000,3.41
Darwin Suburbs,Feb-22,0.0243000,2.43
Darwin Suburbs,Mar-22,0.0370000,3.7
Darwin Suburbs,Apr-22,0.0803000,8.03
Darwin Suburbs,May-22,0.0872000,8.72
Darwin Suburbs,Jun-22,0.1199000,11.99
Darwin Suburbs,Jul-22,0.1430000,14.3
Darwin Suburbs,Aug-22,0.0986000,9.86
Darwin Suburbs,Sep-22,0.0821000,8.21
Darwin Suburbs,Oct-22,0.0492000,4.92
Darwin Suburbs,Nov-22,0.0385000,3.85
Darwin Suburbs,Dec-22,0.0478000,4.78
Darwin Suburbs,Jan-23,0.0356000,3.56
Darwin Suburbs,Feb-23,0.0073000,0.73
Darwin Suburbs,Mar-23,0.0218000,2.18
Darwin Suburbs,Apr-23,0.0437000,4.37
Darwin Suburbs,May-23,0.0499000,4.99
Devonport,Jan-22,0.0046000,0.46
Devonport,Mar-22,0.0001000,0.01
Devonport,Apr-22,0.0120000,1.2
Devonport,May-22,0.1145000,11.45
Devonport,Jun-22,0.2414000,24.14
Devonport,Jul-22,0.1681000,16.81
Devonport,Aug-22,0.2085000,20.85
Devonport,Sep-22,0.1019000,10.19
Devonport,Oct-22,0.0443000,4.43
Devonport,Nov-22,0.0146000,1.46
Devonport,Dec-22,0.0188000,1.88
Devonport,Jan-23,0.0126000,1.26
Devonport,Feb-23,0.0030000,0.3
Devonport,Mar-23,0.0062000,0.62
Devonport,Apr-23,0.0044000,0.44
Devonport,May-23,0.0450000,4.5
Dubbo,Jan-22,0.0005000,0.05
Dubbo,Feb-22,0.0120000,1.2
Dubbo,Mar-22,0.0066000,0.66
Dubbo,Apr-22,0.0200000,2
Dubbo,May-22,0.0783000,7.83
Dubbo,Jun-22,0.2221000,22.21
Dubbo,Jul-22,0.2317000,23.17
Dubbo,Aug-22,0.1363000,13.63
Dubbo,Sep-22,0.0843000,8.43
Dubbo,Oct-22,0.0497000,4.97
Dubbo,Nov-22,0.0286000,2.86
Dubbo,Dec-22,0.0473000,4.73
Dubbo,Jan-23,0.0203000,2.03
Dubbo,Feb-23,0.0002000,0.02
Dubbo,Mar-23,0.0071000,0.71
Dubbo,Apr-23,0.0228000,2.28
Dubbo,May-23,0.0322000,3.22
Dural - Wisemans Ferry,Jan-22,0.0023000,0.23
Dural - Wisemans Ferry,Apr-22,0.0048000,0.48
Dural - Wisemans Ferry,May-22,0.0281000,2.81
Dural - Wisemans Ferry,Jun-22,0.1871000,18.71
Dural - Wisemans Ferry,Jul-22,0.2947000,29.47
Dural - Wisemans Ferry,Aug-22,0.0403000,4.03
Dural - Wisemans Ferry,Sep-22,0.0666000,6.66
Dural - Wisemans Ferry,Oct-22,0.0067000,0.67
Dural - Wisemans Ferry,Nov-22,0.0101000,1.01
Dural - Wisemans Ferry,Dec-22,0.0582000,5.82
Dural - Wisemans Ferry,Mar-23,0.0707000,7.07
Dural - Wisemans Ferry,Apr-23,0.0326000,3.26
Dural - Wisemans Ferry,May-23,0.1978000,19.78
East Arnhem,Jan-22,0.0018000,0.18
East Arnhem,Mar-22,0.0139000,1.39
East Arnhem,Apr-22,0.1130000,11.3
East Arnhem,May-22,0.1539000,15.39
East Arnhem,Jun-22,0.1423000,14.23
East Arnhem,Jul-22,0.1926000,19.26
East Arnhem,Aug-22,0.0898000,8.98
East Arnhem,Sep-22,0.1161000,11.61
East Arnhem,Oct-22,0.0475000,4.75
East Arnhem,Nov-22,0.0129000,1.29
East Arnhem,Dec-22,0.0560000,5.6
East Arnhem,Jan-23,0.0210000,2.1
East Arnhem,Feb-23,0.0049000,0.49
East Arnhem,Mar-23,0.0017000,0.17
East Arnhem,Apr-23,0.0112000,1.12
East Arnhem,May-23,0.0214000,2.14
Eastern Suburbs - North,Jan-22,0.0026000,0.26
Eastern Suburbs - North,Feb-22,0.0037000,0.37
Eastern Suburbs - North,Mar-22,0.0166000,1.66
Eastern Suburbs - North,Apr-22,0.0820000,8.2
Eastern Suburbs - North,May-22,0.0939000,9.39
Eastern Suburbs - North,Jun-22,0.2026000,20.26
Eastern Suburbs - North,Jul-22,0.1669000,16.69
Eastern Suburbs - North,Aug-22,0.0851000,8.51
Eastern Suburbs - North,Sep-22,0.1181000,11.81
Eastern Suburbs - North,Oct-22,0.0466000,4.66
Eastern Suburbs - North,Nov-22,0.0247000,2.47
Eastern Suburbs - North,Dec-22,0.0178000,1.78
Eastern Suburbs - North,Jan-23,0.0073000,0.73
Eastern Suburbs - North,Feb-23,0.0003000,0.03
Eastern Suburbs - North,Mar-23,0.0156000,1.56
Eastern Suburbs - North,Apr-23,0.0448000,4.48
Eastern Suburbs - North,May-23,0.0712000,7.12
Eastern Suburbs - South,Feb-22,0.0021000,0.21
Eastern Suburbs - South,Mar-22,0.0097000,0.97
Eastern Suburbs - South,Apr-22,0.1023000,10.23
Eastern Suburbs - South,May-22,0.0832000,8.32
Eastern Suburbs - South,Jun-22,0.2286000,22.86
Eastern Suburbs - South,Jul-22,0.1943000,19.43
Eastern Suburbs - South,Aug-22,0.1161000,11.61
Eastern Suburbs - South,Sep-22,0.0876000,8.76
Eastern Suburbs - South,Oct-22,0.0417000,4.17
Eastern Suburbs - South,Nov-22,0.0219000,2.19
Eastern Suburbs - South,Dec-22,0.0060000,0.6
Eastern Suburbs - South,Jan-23,0.0067000,0.67
Eastern Suburbs - South,Feb-23,0.0001000,0.01
Eastern Suburbs - South,Mar-23,0.0095000,0.95
Eastern Suburbs - South,Apr-23,0.0503000,5.03
Eastern Suburbs - South,May-23,0.0398000,3.98
Esperance,Jan-22,0.0219000,2.19
Esperance,Feb-22,0.0280000,2.8
Esperance,Mar-22,0.0312000,3.12
Esperance,Apr-22,0.0470000,4.7
Esperance,May-22,0.0701000,7.01
Esperance,Jun-22,0.1479000,14.79
Esperance,Jul-22,0.2171000,21.71
Esperance,Aug-22,0.1545000,15.45
Esperance,Sep-22,0.0453000,4.53
Esperance,Oct-22,0.0263000,2.63
Esperance,Nov-22,0.0154000,1.54
Esperance,Dec-22,0.0215000,2.15
Esperance,Jan-23,0.0212000,2.12
Esperance,Feb-23,0.0116000,1.16
Esperance,Mar-23,0.0198000,1.98
Esperance,Apr-23,0.0349000,3.49
Esperance,May-23,0.0864000,8.64
Essendon,Mar-22,0.0020000,0.2
Essendon,Apr-22,0.0465000,4.65
Essendon,May-22,0.0431000,4.31
Essendon,Jun-22,0.1952000,19.52
Essendon,Jul-22,0.2044000,20.44
Essendon,Aug-22,0.0718000,7.18
Essendon,Sep-22,0.0719000,7.19
Essendon,Oct-22,0.0275000,2.75
Essendon,Nov-22,0.0308000,3.08
Essendon,Dec-22,0.0570000,5.7
Essendon,Jan-23,0.0081000,0.81
Essendon,Feb-23,0.0040000,0.4
Essendon,Mar-23,0.0250000,2.5
Essendon,Apr-23,0.1299000,12.99
Essendon,May-23,0.0826000,8.26
Eyre Peninsula and South West,Jan-22,0.0105000,1.05
Eyre Peninsula and South West,Feb-22,0.0060000,0.6
Eyre Peninsula and South West,Mar-22,0.0108000,1.08
Eyre Peninsula and South West,Apr-22,0.0564000,5.64
Eyre Peninsula and South West,May-22,0.0841000,8.41
Eyre Peninsula and South West,Jun-22,0.1064000,10.64
Eyre Peninsula and South West,Jul-22,0.2357000,23.57
Eyre Peninsula and South West,Aug-22,0.1428000,14.28
Eyre Peninsula and South West,Sep-22,0.0675000,6.75
Eyre Peninsula and South West,Oct-22,0.0400000,4
Eyre Peninsula and South West,Nov-22,0.0315000,3.15
Eyre Peninsula and South West,Dec-22,0.0195000,1.95
Eyre Peninsula and South West,Jan-23,0.0384000,3.84
Eyre Peninsula and South West,Feb-23,0.0070000,0.7
Eyre Peninsula and South West,Mar-23,0.0315000,3.15
Eyre Peninsula and South West,Apr-23,0.0404000,4.04
Eyre Peninsula and South West,May-23,0.0714000,7.14
Fairfield,Jan-22,0.0009000,0.09
Fairfield,Mar-22,0.0024000,0.24
Fairfield,Apr-22,0.0239000,2.39
Fairfield,May-22,0.0169000,1.69
Fairfield,Jun-22,0.2313000,23.13
Fairfield,Jul-22,0.1312000,13.12
Fairfield,Aug-22,0.1037000,10.37
Fairfield,Sep-22,0.1241000,12.41
Fairfield,Oct-22,0.0865000,8.65
Fairfield,Nov-22,0.0302000,3.02
Fairfield,Dec-22,0.0219000,2.19
Fairfield,Jan-23,0.0318000,3.18
Fairfield,Feb-23,0.0016000,0.16
Fairfield,Mar-23,0.0173000,1.73
Fairfield,Apr-23,0.0356000,3.56
Fairfield,May-23,0.1405000,14.05
Far North,Jan-22,0.0018000,0.18
Far North,Feb-22,0.0020000,0.2
Far North,Mar-22,0.0266000,2.66
Far North,Apr-22,0.0468000,4.68
Far North,May-22,0.0868000,8.68
Far North,Jun-22,0.0979000,9.79
Far North,Jul-22,0.1342000,13.42
Far North,Aug-22,0.1561000,15.61
Far North,Sep-22,0.0849000,8.49
Far North,Oct-22,0.0932000,9.32
Far North,Nov-22,0.0349000,3.49
Far North,Dec-22,0.0426000,4.26
Far North,Jan-23,0.0470000,4.7
Far North,Feb-23,0.0003000,0.03
Far North,Mar-23,0.0367000,3.67
Far North,Apr-23,0.0370000,3.7
Far North,May-23,0.0712000,7.12
Fleurieu - Kangaroo Island,Jan-22,0.0070000,0.7
Fleurieu - Kangaroo Island,Feb-22,0.0073000,0.73
Fleurieu - Kangaroo Island,Mar-22,0.0095000,0.95
Fleurieu - Kangaroo Island,Apr-22,0.0250000,2.5
Fleurieu - Kangaroo Island,May-22,0.0472000,4.72
Fleurieu - Kangaroo Island,Jun-22,0.1792000,17.92
Fleurieu - Kangaroo Island,Jul-22,0.1980000,19.8
Fleurieu - Kangaroo Island,Aug-22,0.1850000,18.5
Fleurieu - Kangaroo Island,Sep-22,0.0756000,7.56
Fleurieu - Kangaroo Island,Oct-22,0.0805000,8.05
Fleurieu - Kangaroo Island,Nov-22,0.0202000,2.02
Fleurieu - Kangaroo Island,Dec-22,0.0197000,1.97
Fleurieu - Kangaroo Island,Jan-23,0.0129000,1.29
Fleurieu - Kangaroo Island,Feb-23,0.0092000,0.92
Fleurieu - Kangaroo Island,Mar-23,0.0113000,1.13
Fleurieu - Kangaroo Island,Apr-23,0.0179000,1.79
Fleurieu - Kangaroo Island,May-23,0.0945000,9.45
Forest Lake - Oxley,Jan-22,0.0055000,0.55
Forest Lake - Oxley,Feb-22,0.0110000,1.1
Forest Lake - Oxley,Mar-22,0.0099000,0.99
Forest Lake - Oxley,Apr-22,0.0343000,3.43
Forest Lake - Oxley,May-22,0.1181000,11.81
Forest Lake - Oxley,Jun-22,0.1532000,15.32
Forest Lake - Oxley,Jul-22,0.1861000,18.61
Forest Lake - Oxley,Aug-22,0.1565000,15.65
Forest Lake - Oxley,Sep-22,0.1486000,14.86
Forest Lake - Oxley,Oct-22,0.0212000,2.12
Forest Lake - Oxley,Nov-22,0.0412000,4.12
Forest Lake - Oxley,Dec-22,0.0029000,0.29
Forest Lake - Oxley,Jan-23,0.0128000,1.28
Forest Lake - Oxley,Feb-23,0.0024000,0.24
Forest Lake - Oxley,Mar-23,0.0032000,0.32
Forest Lake - Oxley,Apr-23,0.0048000,0.48
Forest Lake - Oxley,May-23,0.0884000,8.84
Frankston,Feb-22,0.0075000,0.75
Frankston,Mar-22,0.0137000,1.37
Frankston,Apr-22,0.0555000,5.55
Frankston,May-22,0.0908000,9.08
Frankston,Jun-22,0.1381000,13.81
Frankston,Jul-22,0.2215000,22.15
Frankston,Aug-22,0.1943000,19.43
Frankston,Sep-22,0.1080000,10.8
Frankston,Oct-22,0.0372000,3.72
Frankston,Nov-22,0.0127000,1.27
Frankston,Dec-22,0.0021000,0.21
Frankston,Jan-23,0.0052000,0.52
Frankston,Feb-23,0.0026000,0.26
Frankston,Mar-23,0.0175000,1.75
Frankston,Apr-23,0.0190000,1.9
Frankston,May-23,0.0743000,7.43
Fremantle,Jan-22,0.0331000,3.31
Fremantle,Feb-22,0.0223000,2.23
Fremantle,Mar-22,0.0337000,3.37
Fremantle,Apr-22,0.0548000,5.48
Fremantle,May-22,0.0798000,7.98
Fremantle,Jun-22,0.1071000,10.71
Fremantle,Jul-22,0.1368000,13.68
Fremantle,Aug-22,0.1237000,12.37
Fremantle,Sep-22,0.0845000,8.45
Fremantle,Oct-22,0.0477000,4.77
Fremantle,Nov-22,0.0311000,3.11
Fremantle,Dec-22,0.0301000,3.01
Fremantle,Jan-23,0.0216000,2.16
Fremantle,Feb-23,0.0088000,0.88
Fremantle,Mar-23,0.0295000,2.95
Fremantle,Apr-23,0.0629000,6.29
Fremantle,May-23,0.0925000,9.25
Gascoyne,Jan-22,0.0230000,2.3
Gascoyne,Feb-22,0.0315000,3.15
Gascoyne,Mar-22,0.0300000,3
Gascoyne,Apr-22,0.0460000,4.6
Gascoyne,May-22,0.0908000,9.08
Gascoyne,Jun-22,0.1343000,13.43
Gascoyne,Jul-22,0.1476000,14.76
Gascoyne,Aug-22,0.1323000,13.23
Gascoyne,Sep-22,0.0758000,7.58
Gascoyne,Oct-22,0.0572000,5.72
Gascoyne,Nov-22,0.0244000,2.44
Gascoyne,Dec-22,0.0231000,2.31
Gascoyne,Jan-23,0.0417000,4.17
Gascoyne,Feb-23,0.0066000,0.66
Gascoyne,Mar-23,0.0284000,2.84
Gascoyne,Apr-23,0.0258000,2.58
Gascoyne,May-23,0.0813000,8.13
Geelong,Jan-22,0.0033000,0.33
Geelong,Feb-22,0.0124000,1.24
Geelong,Mar-22,0.0135000,1.35
Geelong,Apr-22,0.0369000,3.69
Geelong,May-22,0.1134000,11.34
Geelong,Jun-22,0.1824000,18.24
Geelong,Jul-22,0.2136000,21.36
Geelong,Aug-22,0.1846000,18.46
Geelong,Sep-22,0.0781000,7.81
Geelong,Oct-22,0.0311000,3.11
Geelong,Nov-22,0.0198000,1.98
Geelong,Dec-22,0.0112000,1.12
Geelong,Jan-23,0.0349000,3.49
Geelong,Feb-23,0.0019000,0.19
Geelong,Mar-23,0.0020000,0.2
Geelong,Apr-23,0.0113000,1.13
Geelong,May-23,0.0495000,4.95
Gippsland - East,Jan-22,0.0054000,0.54
Gippsland - East,Feb-22,0.0004000,0.04
Gippsland - East,Mar-22,0.0036000,0.36
Gippsland - East,Apr-22,0.0286000,2.86
Gippsland - East,May-22,0.0648000,6.48
Gippsland - East,Jun-22,0.1114000,11.14
Gippsland - East,Jul-22,0.2214000,22.14
Gippsland - East,Aug-22,0.1774000,17.74
Gippsland - East,Sep-22,0.0293000,2.93
Gippsland - East,Oct-22,0.0024000,0.24
Gippsland - East,Nov-22,0.0210000,2.1
Gippsland - East,Jan-23,0.0993000,9.93
Gippsland - East,Mar-23,0.0831000,8.31
Gippsland - East,Apr-23,0.1020000,10.2
Gippsland - East,May-23,0.0500000,5
Gippsland - South West,Jan-22,0.0002000,0.02
Gippsland - South West,Feb-22,0.0002000,0.02
Gippsland - South West,Mar-22,0.0019000,0.19
Gippsland - South West,Apr-22,0.0307000,3.07
Gippsland - South West,May-22,0.0674000,6.74
Gippsland - South West,Jun-22,0.1928000,19.28
Gippsland - South West,Jul-22,0.3474000,34.74
Gippsland - South West,Aug-22,0.2172000,21.72
Gippsland - South West,Sep-22,0.0597000,5.97
Gippsland - South West,Oct-22,0.0166000,1.66
Gippsland - South West,Nov-22,0.0051000,0.51
Gippsland - South West,Dec-22,0.0023000,0.23
Gippsland - South West,Jan-23,0.0028000,0.28
Gippsland - South West,Feb-23,0.0016000,0.16
Gippsland - South West,Mar-23,0.0083000,0.83
Gippsland - South West,Apr-23,0.0138000,1.38
Gippsland - South West,May-23,0.0319000,3.19
Gladstone - Biloela,Jan-22,0.0197000,1.97
Gladstone - Biloela,Feb-22,0.0085000,0.85
Gladstone - Biloela,Mar-22,0.0122000,1.22
Gladstone - Biloela,Apr-22,0.0600000,6
Gladstone - Biloela,May-22,0.0963000,9.63
Gladstone - Biloela,Jun-22,0.1309000,13.09
Gladstone - Biloela,Jul-22,0.1524000,15.24
Gladstone - Biloela,Aug-22,0.1626000,16.26
Gladstone - Biloela,Sep-22,0.1032000,10.32
Gladstone - Biloela,Oct-22,0.0198000,1.98
Gladstone - Biloela,Nov-22,0.0343000,3.43
Gladstone - Biloela,Dec-22,0.0293000,2.93
Gladstone - Biloela,Jan-23,0.0093000,0.93
Gladstone - Biloela,Feb-23,0.0001000,0.01
Gladstone - Biloela,Mar-23,0.0176000,1.76
Gladstone - Biloela,Apr-23,0.0435000,4.35
Gladstone - Biloela,May-23,0.1004000,10.04
Glen Eira,Jan-22,0.0008000,0.08
Glen Eira,Feb-22,0.0016000,0.16
Glen Eira,Mar-22,0.0047000,0.47
Glen Eira,Apr-22,0.0296000,2.96
Glen Eira,May-22,0.1064000,10.64
Glen Eira,Jun-22,0.1884000,18.84
Glen Eira,Jul-22,0.1936000,19.36
Glen Eira,Aug-22,0.1890000,18.9
Glen Eira,Sep-22,0.0703000,7.03
Glen Eira,Oct-22,0.0789000,7.89
Glen Eira,Nov-22,0.0157000,1.57
Glen Eira,Dec-22,0.0043000,0.43
Glen Eira,Jan-23,0.0063000,0.63
Glen Eira,Feb-23,0.0006000,0.06
Glen Eira,Mar-23,0.0022000,0.22
Glen Eira,Apr-23,0.0134000,1.34
Glen Eira,May-23,0.0941000,9.41
Glenelg - Southern Grampians,Jan-22,0.0267000,2.67
Glenelg - Southern Grampians,Feb-22,0.0141000,1.41
Glenelg - Southern Grampians,Mar-22,0.0070000,0.7
Glenelg - Southern Grampians,Apr-22,0.0106000,1.06
Glenelg - Southern Grampians,May-22,0.0487000,4.87
Glenelg - Southern Grampians,Jun-22,0.2621000,26.21
Glenelg - Southern Grampians,Jul-22,0.2329000,23.29
Glenelg - Southern Grampians,Aug-22,0.1874000,18.74
Glenelg - Southern Grampians,Sep-22,0.0845000,8.45
Glenelg - Southern Grampians,Oct-22,0.0050000,0.5
Glenelg - Southern Grampians,Nov-22,0.0002000,0.02
Glenelg - Southern Grampians,Dec-22,0.0013000,0.13
Glenelg - Southern Grampians,Jan-23,0.0005000,0.05
Glenelg - Southern Grampians,Mar-23,0.0038000,0.38
Glenelg - Southern Grampians,Apr-23,0.0181000,1.81
Glenelg - Southern Grampians,May-23,0.0972000,9.72
Gold Coast Hinterland,Jan-22,0.0008000,0.08
Gold Coast Hinterland,Apr-22,0.0965000,9.65
Gold Coast Hinterland,May-22,0.2049000,20.49
Gold Coast Hinterland,Jun-22,0.0411000,4.11
Gold Coast Hinterland,Jul-22,0.0470000,4.7
Gold Coast Hinterland,Aug-22,0.1518000,15.18
Gold Coast Hinterland,Sep-22,0.1168000,11.68
Gold Coast Hinterland,Oct-22,0.0422000,4.22
Gold Coast Hinterland,Nov-22,0.0280000,2.8
Gold Coast Hinterland,Dec-22,0.0117000,1.17
Gold Coast Hinterland,Jan-23,0.0196000,1.96
Gold Coast Hinterland,Feb-23,0.0029000,0.29
Gold Coast Hinterland,Mar-23,0.0425000,4.25
Gold Coast Hinterland,Apr-23,0.0828000,8.28
Gold Coast Hinterland,May-23,0.1113000,11.13
Goldfields,Jan-22,0.0545000,5.45
Goldfields,Feb-22,0.0352000,3.52
Goldfields,Mar-22,0.0480000,4.8
Goldfields,Apr-22,0.0602000,6.02
Goldfields,May-22,0.0776000,7.76
Goldfields,Jun-22,0.1151000,11.51
Goldfields,Jul-22,0.1171000,11.71
Goldfields,Aug-22,0.1145000,11.45
Goldfields,Sep-22,0.0603000,6.03
Goldfields,Oct-22,0.0656000,6.56
Goldfields,Nov-22,0.0376000,3.76
Goldfields,Dec-22,0.0351000,3.51
Goldfields,Jan-23,0.0301000,3.01
Goldfields,Feb-23,0.0065000,0.65
Goldfields,Mar-23,0.0449000,4.49
Goldfields,Apr-23,0.0266000,2.66
Goldfields,May-23,0.0711000,7.11
Gosford,Jan-22,0.0003000,0.03
Gosford,Feb-22,0.0002000,0.02
Gosford,Mar-22,0.0006000,0.06
Gosford,Apr-22,0.0057000,0.57
Gosford,May-22,0.0753000,7.53
Gosford,Jun-22,0.1101000,11.01
Gosford,Jul-22,0.1598000,15.98
Gosford,Aug-22,0.3069000,30.69
Gosford,Sep-22,0.1278000,12.78
Gosford,Oct-22,0.0568000,5.68
Gosford,Nov-22,0.0226000,2.26
Gosford,Dec-22,0.0011000,0.11
Gosford,Jan-23,0.0021000,0.21
Gosford,Mar-23,0.0030000,0.3
Gosford,Apr-23,0.0192000,1.92
Gosford,May-23,0.1086000,10.86
Gosnells,Jan-22,0.0614000,6.14
Gosnells,Feb-22,0.0262000,2.62
Gosnells,Mar-22,0.0404000,4.04
Gosnells,Apr-22,0.0630000,6.3
Gosnells,May-22,0.1000000,10
Gosnells,Jun-22,0.1094000,10.94
Gosnells,Jul-22,0.1283000,12.83
Gosnells,Aug-22,0.1048000,10.48
Gosnells,Sep-22,0.0820000,8.2
Gosnells,Oct-22,0.0457000,4.57
Gosnells,Nov-22,0.0332000,3.32
Gosnells,Dec-22,0.0321000,3.21
Gosnells,Jan-23,0.0399000,3.99
Gosnells,Feb-23,0.0069000,0.69
Gosnells,Mar-23,0.0281000,2.81
Gosnells,Apr-23,0.0404000,4.04
Gosnells,May-23,0.0582000,5.82
Goulburn - Yass,Mar-22,0.0029000,0.29
Goulburn - Yass,Apr-22,0.0101000,1.01
Goulburn - Yass,May-22,0.0150000,1.5
Goulburn - Yass,Jun-22,0.1737000,17.37
Goulburn - Yass,Jul-22,0.1567000,15.67
Goulburn - Yass,Aug-22,0.2274000,22.74
Goulburn - Yass,Sep-22,0.0142000,1.42
Goulburn - Yass,Mar-23,0.0095000,0.95
Goulburn - Yass,Apr-23,0.2242000,22.42
Goulburn - Yass,May-23,0.1662000,16.62
Grampians,Mar-22,0.0195000,1.95
Grampians,Apr-22,0.0046000,0.46
Grampians,May-22,0.0410000,4.1
Grampians,Jun-22,0.1384000,13.84
Grampians,Jul-22,0.2038000,20.38
Grampians,Aug-22,0.3206000,32.06
Grampians,Sep-22,0.1369000,13.69
Grampians,Oct-22,0.0298000,2.98
Grampians,Nov-22,0.0025000,0.25
Grampians,Dec-22,0.0036000,0.36
Grampians,Jan-23,0.0046000,0.46
Grampians,Feb-23,0.0008000,0.08
Grampians,Mar-23,0.0075000,0.75
Grampians,Apr-23,0.0187000,1.87
Grampians,May-23,0.0676000,6.76
Granite Belt,Jan-22,0.0043000,0.43
Granite Belt,Feb-22,0.0139000,1.39
Granite Belt,Mar-22,0.0167000,1.67
Granite Belt,Apr-22,0.0264000,2.64
Granite Belt,May-22,0.0539000,5.39
Granite Belt,Jun-22,0.1422000,14.22
Granite Belt,Jul-22,0.2223000,22.23
Granite Belt,Aug-22,0.1763000,17.63
Granite Belt,Sep-22,0.1138000,11.38
Granite Belt,Oct-22,0.0313000,3.13
Granite Belt,Nov-22,0.0251000,2.51
Granite Belt,Dec-22,0.0213000,2.13
Granite Belt,Jan-23,0.0372000,3.72
Granite Belt,Feb-23,0.0042000,0.42
Granite Belt,Mar-23,0.0301000,3.01
Granite Belt,Apr-23,0.0399000,3.99
Granite Belt,May-23,0.0411000,4.11
Great Lakes,Jan-22,0.0061000,0.61
Great Lakes,Feb-22,0.0109000,1.09
Great Lakes,Mar-22,0.0060000,0.6
Great Lakes,Apr-22,0.0428000,4.28
Great Lakes,May-22,0.0635000,6.35
Great Lakes,Jun-22,0.2367000,23.67
Great Lakes,Jul-22,0.2543000,25.43
Great Lakes,Aug-22,0.1475000,14.75
Great Lakes,Sep-22,0.0784000,7.84
Great Lakes,Oct-22,0.0498000,4.98
Great Lakes,Nov-22,0.0144000,1.44
Great Lakes,Dec-22,0.0164000,1.64
Great Lakes,Feb-23,0.0013000,0.13
Great Lakes,Mar-23,0.0079000,0.79
