Origin SA3,Month of Purchase Month (copy),Pct,Percent_Change
Augusta - Margaret River - Busselton,Dec-22,0.0159000,1.59
Augusta - Margaret River - Busselton,Jan-23,0.0127000,1.27
Augusta - Margaret River - Busselton,Feb-23,0.0067000,0.67
Augusta - Margaret River - Busselton,Mar-23,0.0308000,3.08
Augusta - Margaret River - Busselton,Apr-23,0.0261000,2.61
Augusta - Margaret River - Busselton,May-23,0.1165000,11.65
Ballarat,Jan-22,0.0066000,0.66
Ballarat,Feb-22,0.0057000,0.57
Ballarat,Mar-22,0.0070000,0.7
Ballarat,Apr-22,0.0177000,1.77
Ballarat,May-22,0.0616000,6.16
Ballarat,Jun-22,0.1699000,16.99
Ballarat,Jul-22,0.2119000,21.19
Ballarat,Aug-22,0.2179000,21.79
Ballarat,Sep-22,0.1079000,10.79
Ballarat,Oct-22,0.0222000,2.22
Ballarat,Nov-22,0.0135000,1.35
Ballarat,Dec-22,0.0218000,2.18
Ballarat,Jan-23,0.0198000,1.98
Ballarat,Feb-23,0.0001000,0.01
Ballarat,Mar-23,0.0094000,0.94
Ballarat,Apr-23,0.0296000,2.96
Ballarat,May-23,0.0776000,7.76
Bankstown,Jan-22,0.0017000,0.17
Bankstown,May-22,0.0340000,3.4
Bankstown,Jun-22,0.1585000,15.85
Bankstown,Jul-22,0.4626000,46.26
Bankstown,Aug-22,0.0465000,4.65
Bankstown,Sep-22,0.1118000,11.18
Bankstown,Oct-22,0.0292000,2.92
Bankstown,Nov-22,0.0858000,8.58
Bankstown,Dec-22,0.0012000,0.12
Bankstown,Jan-23,0.0113000,1.13
Bankstown,Apr-23,0.0044000,0.44
Bankstown,May-23,0.0531000,5.31
Banyule,Mar-22,0.0066000,0.66
Banyule,Apr-22,0.0209000,2.09
Banyule,May-22,0.0426000,4.26
Banyule,Jun-22,0.2452000,24.52
Banyule,Jul-22,0.2608000,26.08
Banyule,Aug-22,0.1532000,15.32
Banyule,Sep-22,0.1433000,14.33
Banyule,Oct-22,0.0501000,5.01
Banyule,Nov-22,0.0078000,0.78
Banyule,Dec-22,0.0001000,0.01
Banyule,Jan-23,0.0002000,0.02
Banyule,Feb-23,0.0002000,0.02
Banyule,Mar-23,0.0081000,0.81
Banyule,Apr-23,0.0085000,0.85
Banyule,May-23,0.0524000,5.24
Barkly,Jan-22,0.0302000,3.02
Barkly,Feb-22,0.0164000,1.64
Barkly,Mar-22,0.0249000,2.49
Barkly,Apr-22,0.0427000,4.27
Barkly,May-22,0.0811000,8.11
Barkly,Jun-22,0.0796000,7.96
Barkly,Jul-22,0.1312000,13.12
Barkly,Aug-22,0.1242000,12.42
Barkly,Sep-22,0.0783000,7.83
Barkly,Oct-22,0.0811000,8.11
Barkly,Nov-22,0.0601000,6.01
Barkly,Dec-22,0.0273000,2.73
Barkly,Jan-23,0.0237000,2.37
